,Gene,Disease
21322,4.2.1.152,
21323,cyp1b1,ORPHA:708
21324,cypib1,
21325,cytochrome p450 1b1,
21326,hydroperoxy icosatetraenoate dehydratase,
21327,1.14.14.-,
21328,"1,4-cineole 2-exo-monooxygenase",
21329,coumarin 7-hydroxylase,
21330,cyp2a3,
21331,cyp2a6,ORPHA:529831
21332,cypiia6,
21333,cytochrome p450 2a6,
21334,cytochrome p450(i),
21335,cytochrome p450 iia3,
21336,1.14.14.1,
21337,cyp3a43,
21338,cytochrome p450 3a43,
21339,1.14.13.n7,
21340,1.14.14.1,
21341,4-nitrophenol 2-hydroxylase,
21342,cyp2e,
21343,cyp2e1,
21344,cypiie1,
21345,cytochrome p450 2e1,
21346,cytochrome p450-j,
21347,synonyms=cyp2e,
21348,1.14.14.1,
21349,cyp3a7,
21350,cypiiia7,
21351,cytochrome p450 3a7,
21352,cytochrome p450-hfla,
21353,p450hlp2,
21354,1.14.14.-,
21355,cyp2w1,
21356,cypiiw1,
21357,cytochrome p450 2w1,
21358,1.14.14.1,
21359,1.14.14.79,
21360,1.14.14.94,
21361,20-hete synthase,
21362,20-hydroxyeicosatetraenoic acid synthase,
21363,cyp4f3,
21364,cypivf3,
21365,cytochrome p450 4f3,
21366,cytochrome p450-ltb-omega,
21367,docosahexaenoic acid omega-hydroxylase cyp4f3,
21368,leukotriene-b(4) 20-monooxygenase 2,
21369,leukotriene-b(4) omega-hydroxylase 2,
21370,ltb4h,
21371,synonyms=ltb4h,
21372,1.14.14.1,
21373,cyp2a13,
21374,cypiia13,
21375,cytochrome p450 2a13,
21376,1.14.14.1,
21377,cyp4f8,
21378,cypivf8,
21379,cytochrome p450 4f8,
21380,1.14.14.1,
21381,cyp2a7,
21382,cypiia7,
21383,cytochrome p450 2a7,
21384,cytochrome p450 iia4,
21385,1.14.14.1,
21386,cyp2f1,
21387,cypiif1,
21388,cytochrome p450 2f1,
21389,1.14.14.24,
21390,cyp2r1,ORPHA:289157
21391,cytochrome p450 2r1,
21392,vitamin d 25-hydroxylase,
21393,1.14.14.-,
21394,4.2.1.152,
21395,5.3.99.5,
21396,cyp2s1,
21397,cypiis1,
21398,cytochrome p450 2s1,
21399,hydroperoxy icosatetraenoate dehydratase,
21400,thromboxane-a synthase,
21401,1.14.14.80,
21402,cyp2u1,ORPHA:320411
21403,cytochrome p450 2u1,
21404,long-chain fatty acid omega-monooxygenase,
21405,1.14.14.80,
21406,cyp4a22,
21407,cypiva22,
21408,cytochrome p450 4a22,
21409,fatty acid omega-hydroxylase,
21410,lauric acid omega-hydroxylase,
21411,long-chain fatty acid omega-monooxygenase,
21412,1.14.14.1,
21413,cyp4b1,
21414,cypivb1,
21415,cytochrome p450 4b1,
21416,cytochrome p450-hp,
21417,3.1.3.16,
21418,hscop,
21419,kiaa0606,
21420,ph domain-containing family e member 1,
21421,ph domain leucine-rich repeat-containing protein phosphatase 1,
21422,phlpp,
21423,phlpp1,
21424,pleckstrin homology domain-containing family e member 1,
21425,plekhe1,
21426,scop,
21427,suprachiasmatic nucleus circadian oscillatory protein,
21428,2.7.10.1,
21429,cadherin family member 12,
21430,cdhf12,
21431,cdhr16,
21432,extracellular cell-membrane anchored ret cadherin 120 kda fragment,
21433,proto-oncogene c-ret,
21434,proto-oncogene tyrosine-protein kinase receptor ret,
21435,ptc,
21436,ret,ORPHA:29072
21437,ret51,
21438,soluble ret kinase fragment,
21439,synonyms=cdhf12,
21440,ccdc6,ORPHA:146
21441,coiled-coil domain-containing protein 6,
21442,d10s170,
21443,papillary thyroid carcinoma-encoded protein,
21444,protein h4,
21445,tst1,
21446,aqp1,OMIM:110450
21447,aqp-1,
21448,aquaporin-1,
21449,aquaporin-chip,
21450,chip28,
21451,urine water channel,
21452,water channel protein for red blood cells and kidney proximal tubule,
21453,cyslt1,
21454,cysltr1,
21455,cysltr1,
21456,cysteinyl leukotriene d4 receptor,
21457,cysteinyl leukotriene receptor 1,
21458,g-protein coupled receptor hg55,
21459,hmtmf81,
21460,ltd4 receptor,
21461,actin-binding protein wasf3,
21462,kiaa0900,
21463,protein wave-3,
21464,scar3,
21465,verprolin homology domain-containing protein 3,
21466,wasf3,
21467,wasp family protein member 3,
21468,wave3,
21469,wiskott-aldrich syndrome protein family member 3,
21470,calcium transport protein 2,
21471,cat2,
21472,ecac,
21473,ecac1,
21474,ecac1,
21475,epithelial calcium channel 1,
21476,osm-9-like trp channel 3,
21477,otrpc3,
21478,transient receptor potential cation channel subfamily v member 5,
21479,trpv5,
21480,trpv5,
21481,3.4.21.-,
21482,kiaa0436,
21483,prepl,ORPHA:369881
21484,prolyl endopeptidase-like,
21485,prolylendopeptidase-like,
21486,3.4.24.23,
21487,matrilysin,
21488,matrin,
21489,matrix metalloproteinase-7,
21490,mmp7,
21491,mmp-7,
21492,mpsl1,
21493,pump1,
21494,pump-1 protease,
21495,uterine metalloproteinase,
21496,2.1.1.356,
21497,enhancer of zeste homolog 2,
21498,enx-1,
21499,ezh2,ORPHA:3447
21500,histone-lysine n-methyltransferase ezh2,
21501,kmt6,
21502,lysine n-methyltransferase 6,
21503,7.6.2.1,
21504,abc1,
21505,abc-1,
21506,abca1,ORPHA:425
21507,atp-binding cassette 1,
21508,atp-binding cassette sub-family a member 1,
21509,atp-binding cassette transporter 1,
21510,cerp,
21511,cholesterol efflux regulatory protein,
21512,phospholipid-transporting atpase abca1,
21513,1.14.14.1,
21514,1.14.14.55,
21515,1.14.14.56,
21516,1.14.14.73,
21517,"1,4-cineole 2-exo-monooxygenase",
21518,"1,8-cineole 2-exo-monooxygenase",
21519,albendazole monooxygenase (sulfoxide-forming),
21520,albendazole sulfoxidase,
21521,cholesterol 25-hydroxylase,
21522,cyp3a3,
21523,cyp3a4,OMIM:619073
21524,cypiiia3,
21525,cypiiia4,
21526,cytochrome p450 3a3,
21527,cytochrome p450 3a4,
21528,cytochrome p450 hlp,
21529,cytochrome p450 nf-25,
21530,cytochrome p450-pcn1,
21531,nifedipine oxidase,
21532,quinine 3-monooxygenase,
21533,synonyms=cyp3a3,
21534,1.3.1.24,
21535,1.5.1.30,
21536,biliverdin-ix beta-reductase,
21537,biliverdin reductase b,
21538,blvrb,
21539,bvr-b,
21540,flavin reductase (nadph),
21541,flr,
21542,flr,
21543,ghbp,
21544,green heme-binding protein,
21545,nadph-dependent diaphorase,
21546,nadph-flavin reductase,
21547,2.7.11.1,
21548,erythrocyte 65 kda protein,
21549,hwnk1,
21550,kdp,
21551,kiaa0344,
21552,kiaa0344 gn  ,
21553,kinase deficient protein,
21554,p65,
21555,prkwnk1,
21556,protein kinase lysine-deficient 1,
21557,protein kinase with no lysine 1,
21558,serine/threonine-protein kinase wnk1,
21559,synonyms=hsn2,
21560,wnk1,ORPHA:88940
21561,glucose transporter type 14,
21562,glut-14,
21563,slc2a14,
21564,"solute carrier family 2, facilitated glucose transporter member 14",
21565,synonyms=glut14,
21566,ef-tu,
21567,"elongation factor tu, mitochondrial",
21568,p43,
21569,tufm,ORPHA:254925
21570,cd_antigen=cd130,
21571,cdw130,
21572,gp130,
21573,il-6rb,
21574,il-6r-beta,
21575,il-6 receptor subunit beta,
21576,il-6r subunit beta,
21577,il6st,ORPHA:2314
21578,interleukin-6 receptor subunit beta,
21579,interleukin-6 signal transducer,
21580,membrane glycoprotein 130,
21581,oncostatin-m receptor subunit alpha,
21582,ccne,
21583,ccne1,
21584,g1/s-specific cyclin-e1,
21585,2.7.7.1,
21586,2.7.7.18,
21587,namn adenylyltransferase 1,
21588,nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,
21589,nicotinamide-nucleotide adenylyltransferase 1,
21590,nicotinate-nucleotide adenylyltransferase 1,
21591,nmn adenylyltransferase 1,
21592,nmnat,
21593,nmnat1,ORPHA:1872
21594,nmn/namn adenylyltransferase 1,
21595,2.7.1.107,
21596,2.7.1.93,
21597,dagk6,
21598,dag kinase zeta,
21599,dgkz,
21600,dgk-zeta,
21601,diacylglycerol kinase zeta,
21602,diglyceride kinase zeta,
21603,1.1.1.1,
21604,adh1,
21605,adh1a,
21606,alcohol dehydrogenase 1a,
21607,alcohol dehydrogenase subunit alpha,
21608,1.1.1.105,
21609,adh1b,OMIM:103780
21610,adh2,
21611,alcohol dehydrogenase 1b,
21612,alcohol dehydrogenase subunit beta,
21613,all-trans-retinol dehydrogenase [nad(+)] adh1b,
21614,1.1.1.1,
21615,adh1c,OMIM:168600
21616,adh3,
21617,alcohol dehydrogenase 1c,
21618,alcohol dehydrogenase subunit gamma,
21619,activated protein c cofactor,
21620,coagulation factor v,
21621,coagulation factor v heavy chain,
21622,coagulation factor v light chain,
21623,f5,ORPHA:64738
21624,"proaccelerin, labile factor",
21625,1.11.1.2,
21626,1.8.1.9,
21627,gene associated with retinoic and ifn-induced mortality 12 protein,
21628,gene associated with retinoic and interferon-induced mortality 12 protein,
21629,grim12,
21630,grim-12,
21631,kdrf,
21632,km-102-derived reductase-like factor,
21633,peroxidase txnrd1,
21634,"thioredoxin reductase 1, cytoplasmic",
21635,thioredoxin reductase tr1,
21636,txnrd1,
21637,1.8.1.9,
21638,kiaa1652,
21639,selenoprotein z,
21640,selz,
21641,"thioredoxin reductase 2, mitochondrial",
21642,thioredoxin reductase tr3,
21643,tr-beta,
21644,trxr2,
21645,txnrd2,ORPHA:154
21646,1.8.1.9,
21647,synonyms=tgr,
21648,thioredoxin and glutathione reductase,
21649,thioredoxin reductase 3,
21650,thioredoxin reductase tr2,
21651,trxr3,
21652,trxr3 gn  ,
21653,txnrd3,
21654,lc64p,
21655,lcp1,
21656,lcp-1,
21657,l-plastin,
21658,lymphocyte cytosolic protein 1,
21659,plastin-2,
21660,pls2,
21661,3.1.3.48,
21662,prl3,
21663,prl-3,
21664,prl-r,
21665,protein-tyrosine phosphatase 4a3,
21666,protein-tyrosine phosphatase of regenerating liver 3,
21667,protein tyrosine phosphatase type iva 3,
21668,ptp4a3,
21669,cacna2d2,OMIM:618501
21670,kiaa0558,
21671,voltage-dependent calcium channel subunit alpha-2-2,
21672,voltage-dependent calcium channel subunit alpha-2/delta-2,
21673,voltage-dependent calcium channel subunit delta-2,
21674,voltage-gated calcium channel subunit alpha-2/delta-2,
21675,3.5.1.98,
21676,antigen ny-co-9,
21677,hd5,
21678,hdac5,
21679,histone deacetylase 5,
21680,kiaa0600,
21681,"130 kda phosphatidylinositol 4,5-bisphosphate-dependent arf1 gtpase-activating protein",
21682,adp-ribosylation factor-directed gtpase-activating protein 1,
21683,"arf-gap with sh3 domain, ank repeat and ph domain-containing protein 1",
21684,arf gtpase-activating protein 1,
21685,asap1,
21686,ddef1,
21687,def-1,
21688,development and differentiation-enhancing factor 1,
21689,differentiation-enhancing factor 1,
21690,kiaa1249,
21691,pag2,
21692,pip2-dependent arf1 gap,
21693,synonyms=ddef1,
21694,3.2.1.20,
21695,ganc,
21696,neutral alpha-glucosidase c,
21697,cd_antigen=cd29,
21698,fibronectin receptor subunit beta,
21699,fnrb,
21700,glycoprotein iia,
21701,gpiia,
21702,integrin beta-1,
21703,itgb1,
21704,mdf2,
21705,msk12,
21706,vla-4 subunit beta,
21707,alpha6p,
21708,cd49 antigen-like family member f,
21709,cd_antigen=cd49f,
21710,integrin alpha-6,
21711,integrin alpha-6 heavy chain,
21712,integrin alpha-6 light chain,
21713,itga6,ORPHA:79403
21714,processed integrin alpha-6,
21715,vla-6,
21716,2.7.10.2,
21717,jak1,ORPHA:574957
21718,jak-1,
21719,jak1a,
21720,jak1b,
21721,janus kinase 1,
21722,tyrosine-protein kinase jak1,
21723,2.7.10.2,
21724,non-receptor tyrosine-protein kinase tyk2,
21725,tyk2,ORPHA:331226
21726,api4,
21727,apoptosis inhibitor 4,
21728,apoptosis inhibitor survivin,
21729,baculoviral iap repeat-containing protein 5,
21730,birc5,
21731,iap4,
21732,protein g7,
21733,pvhl,
21734,vhl,ORPHA:29072
21735,von hippel-lindau disease tumor suppressor,
21736,ikaros family zinc finger protein 3,
21737,ikzf3,ORPHA:67038
21738,zinc finger protein aiolos,
21739,znfn1a3,
21740,cck1-r,
21741,cckar,
21742,cck-ar,
21743,cck-a receptor,
21744,cckra,
21745,cholecystokinin-1 receptor,
21746,cholecystokinin receptor type a,
21747,2.1.1.364,
21748,histone-lysine n-methyltransferase setd1a,
21749,hset1a,
21750,kmt2f,
21751,lysine n-methyltransferase 2f,
21752,set1,
21753,set1a,
21754,set1/ash2 histone methyltransferase complex subunit set1,
21755,setd1a,ORPHA:528084
21756,set domain-containing protein 1a,
21757,synonyms=kiaa0339,
21758,2.1.1.37,
21759,aim,
21760,cxxc9,
21761,cxxc-type zinc finger protein 9,
21762,dna (cytosine-5)-methyltransferase 1,
21763,dna methyltransferase hsai,
21764,dna mtase hsai,
21765,dnmt,
21766,dnmt1,ORPHA:314404
21767,dnmt1,ORPHA:314404
21768,mcmt,
21769,m.hsai,
21770,2.8.1.1,
21771,rhodanese,
21772,thiosulfate sulfurtransferase,
21773,tst,
21774,2.3.1.-,
21775,2.3.1.286,
21776,2.4.2.-,
21777,nad-dependent adp-ribosyltransferase sirtuin-4,
21778,nad-dependent protein biotinylase sirtuin-4,
21779,nad-dependent protein deacetylase sirtuin-4,
21780,"nad-dependent protein lipoamidase sirtuin-4, mitochondrial",
21781,regulatory protein sir2 homolog 4,
21782,sir2-like protein 4,
21783,sirt4,
21784,synonyms=sir2l4,
21785,camp-dependent protein kinase type i-beta regulatory subunit,
21786,prkar1b,ORPHA:412066
21787,3.6.4.-,
21788,angiotensin/vasopressin receptor aii/avp-like,
21789,c1orf7,
21790,caterpiller protein 1.1,
21791,cias1,
21792,cias1 gn  ,
21793,clr1.1,
21794,cold-induced autoinflammatory syndrome 1 protein,
21795,cryopyrin,
21796,"nacht, lrr and pyd domains-containing protein 3",
21797,nalp3,
21798,nlrp3,ORPHA:575
21799,pypaf1,
21800,pyrin-containing apaf1-like protein 1,
21801,synonyms=c1orf7,
21802,2.7.11.1,
21803,calcium/calmodulin-dependent serine protein kinase,
21804,cask,ORPHA:1934
21805,hcask,
21806,lin2,
21807,peripheral plasma membrane protein cask,
21808,protein lin-2 homolog,
21809,3.1.3.-,
21810,3.6.1.1,
21811,hlhpp,
21812,lhpp,
21813,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,
21814,atp5a,
21815,atp5a1,
21816,atp5al2,
21817,atp5al2 gn  ,
21818,atp5f1a,ORPHA:254913
21819,atpm,
21820,atp synthase f1 subunit alpha,
21821,"atp synthase subunit alpha, mitochondrial",
21822,synonyms=atp5a,
21823,atad2b,
21824,atpase family aaa domain-containing protein 2b,
21825,kiaa1240,
21826,1.4.3.21,
21827,1.4.3.4,
21828,amine oxidase [flavin-containing] a,
21829,maoa,ORPHA:3057
21830,mao-a,
21831,monoamine oxidase type a,
21832,gpr153,
21833,g-protein coupled receptor pgr1,
21834,pgr1,
21835,probable g-protein coupled receptor 153,
21836,endothelial plasminogen activator inhibitor,
21837,pai,
21838,pai1,
21839,pai-1,
21840,planh1,
21841,plasminogen activator inhibitor 1,
21842,serpin e1,
21843,serpine1,ORPHA:465
21844,aos1,
21845,sae1,
21846,sua1,
21847,sumo-activating enzyme subunit 1,
21848,"sumo-activating enzyme subunit 1, n-terminally processed",
21849,ubiquitin-like 1-activating enzyme e1a,
21850,uble1a,
21851,2.3.2.-,
21852,anthracycline-associated resistance arx,
21853,sae2,
21854,sumo-activating enzyme subunit 2,
21855,uba2,ORPHA:1114
21856,ubiquitin-like 1-activating enzyme e1b,
21857,ubiquitin-like modifier-activating enzyme 2,
21858,uble1b ,
21859,2.3.2.-,
21860,p18,
21861,ring-type e3 sumo transferase ubc9,
21862,sumo-conjugating enzyme ubc9,
21863,sumo-protein ligase,
21864,ubc9,
21865,ubce9,
21866,ube2i,
21867,ubiquitin carrier protein 9,
21868,ubiquitin carrier protein i,
21869,ubiquitin-conjugating enzyme e2 i,
21870,ubiquitin-protein ligase i,
21871,d(1b) dopamine receptor,
21872,d1beta dopamine receptor,
21873,d(5) dopamine receptor,
21874,dopamine d5 receptor,
21875,drd1b,
21876,drd1l2,
21877,drd5,OMIM:143465
21878,alpha-type cgrp,
21879,calc1,
21880,calca,
21881,calcitonin gene-related peptide 1,
21882,calcitonin gene-related peptide i,
21883,cgrp-i,
21884,3.2.1.49,
21885,alpha-galactosidase b,
21886,alpha-n-acetylgalactosaminidase,
21887,naga,ORPHA:79279
21888,calcium release-activated calcium channel protein 1,
21889,cracm1,
21890,orai1,ORPHA:317428
21891,protein orai-1,
21892,tmem142a,
21893,transmembrane protein 142a,
21894,gok,
21895,stim1,ORPHA:317430
21896,stromal interaction molecule 1,
21897,kiaa1482,
21898,stim2,
21899,stromal interaction molecule 2,
21900,3.4.22.-,
21901,senp3,
21902,sentrin-specific protease 3,
21903,sentrin/sumo-specific protease senp3,
21904,sumo-1-specific protease 3,
21905,2.1.1.348,
21906,hmettl3,
21907,methyltransferase-like protein 3,
21908,mettl3,
21909,mta70,
21910,mt-a70,
21911,n6-adenosine-methyltransferase 70 kda subunit,
21912,n6-adenosine-methyltransferase catalytic subunit,
21913,hmettl14,
21914,methyltransferase-like protein 14,
21915,mettl14,
21916,n6-adenosine-methyltransferase non-catalytic subunit,
21917,synonyms=kiaa1627,
21918,60s ribosomal protein l40,
21919,cep52,
21920,large ribosomal subunit protein el40,
21921,uba52,
21922,ubcep2,
21923,ubiquitin,
21924,ubiquitin a-52 residue ribosomal protein fusion product 1,
21925,ubiquitin-ribosomal protein el40 fusion protein,
21926,2.7.11.1,
21927,gprk7,
21928,map kinase-interacting serine/threonine-protein kinase 2,
21929,map kinase signal-integrating kinase 2,
21930,mapk signal-integrating kinase 2,
21931,mknk2,
21932,mnk2,
21933,mnk2,
21934,2.7.4.24,
21935,diphosphoinositol pentakisphosphate kinase 1,
21936,hisppd2a,
21937,histidine acid phosphatase domain-containing protein 2a,
21938,hsvip1,
21939,inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,
21940,inositol pyrophosphate synthase 1,
21941,insp6 and pp-ip5 kinase 1,
21942,ip6k,
21943,ip6 kinase,
21944,ips1,
21945,kiaa0377,
21946,ppip5k1,
21947,synonyms=hisppd2a,
21948,vip1,
21949,vip1 homolog,
21950,14-3-3e,
21951,14-3-3 protein epsilon,
21952,ywhae,ORPHA:457246
21953,anp-c,
21954,anprc,
21955,anpr-c,
21956,atrial natriuretic peptide clearance receptor,
21957,atrial natriuretic peptide receptor 3,
21958,atrial natriuretic peptide receptor type c,
21959,c5orf23,
21960,npr3,OMIM:619543
21961,nprc,
21962,npr-c,
21963,3.4.19.12,
21964,deubiquitinating enzyme 7,
21965,hausp,
21966,herpesvirus-associated ubiquitin-specific protease,
21967,synonyms=hausp,
21968,ubiquitin carboxyl-terminal hydrolase 7,
21969,ubiquitin-specific-processing protease 7,
21970,ubiquitin thioesterase 7,
21971,usp7,ORPHA:643538
21972,apoptosis regulator bcl-x,
21973,bcl2l,
21974,bcl2-l-1,
21975,bcl2l1,
21976,bcl-2-like protein 1,
21977,bclx,
21978,bbc3,
21979,"bcl-2-binding component 3, isoforms 1/2",
21980,jfy-1,
21981,p53 up-regulated modulator of apoptosis,
21982,puma,
21983,cann6,
21984,cannabinoid receptor 1,
21985,cb1,
21986,cb-r,
21987,cnr,
21988,cnr1,
21989,hcrtr1,
21990,hypocretin receptor type 1,
21991,orexin/hypocretin receptor type 1,
21992,orexin receptor type 1,
21993,ox1r,
21994,ox-1-r,
21995,ox1-r,
21996,atp receptor,
21997,p2rx5,
21998,p2x5,
21999,p2x5,
22000,p2x purinoceptor 5,
22001,purinergic receptor,
22002,150 kda oxygen-regulated protein,
22003,170 kda glucose-regulated protein,
22004,grp170,
22005,grp-170,
22006,hyou1,OMIM:233600
22007,hypoxia up-regulated protein 1,
22008,orp150,
22009,orp-150,
22010,1.11.1.8,
22011,thyroid peroxidase,
22012,tpo,ORPHA:95716
22013,tpo,ORPHA:95716
22014,iks producing slow voltage-gated potassium channel subunit alpha kvlqt1,
22015,kcna9,
22016,kcna9 gn  ,
22017,kcnq1,ORPHA:90647
22018,kqt-like 1,
22019,kvlqt1,
22020,potassium voltage-gated channel subfamily kqt member 1,
22021,synonyms=kcna8,
22022,voltage-gated potassium channel subunit kv7.1,
22023,kcnd3,ORPHA:98772
22024,potassium voltage-gated channel subfamily d member 3,
22025,voltage-gated potassium channel subunit kv4.3,
22026,eag homolog,
22027,eag-related protein 1,
22028,erg,ORPHA:370334
22029,erg1,
22030,erg-1,
22031,ether-a-go-go-related gene potassium channel 1,
22032,ether-a-go-go-related protein 1,
22033,herg,
22034,h-erg,
22035,herg1,
22036,herg-1,
22037,kcnh2,ORPHA:101016
22038,potassium voltage-gated channel subfamily h member 2,
22039,voltage-gated potassium channel subunit kv11.1,
22040,kcna2,ORPHA:442835
22041,ngk1,
22042,potassium voltage-gated channel subfamily a member 2,
22043,voltage-gated k(+) channel hukiv,
22044,voltage-gated potassium channel hbk5,
22045,voltage-gated potassium channel subunit kv1.2,
22046,kcna1,ORPHA:1934
22047,potassium voltage-gated channel subfamily a member 1,
22048,voltage-gated k(+) channel huki,
22049,voltage-gated potassium channel hbk1,
22050,voltage-gated potassium channel subunit kv1.1,
22051,kcnq2,ORPHA:140927
22052,kqt-like 2,
22053,neuroblastoma-specific potassium channel subunit alpha kvlqt2,
22054,potassium voltage-gated channel subfamily kqt member 2,
22055,voltage-gated potassium channel subunit kv7.2,
22056,kcnq3,ORPHA:1949
22057,kqt-like 3,
22058,potassium channel subunit alpha kvlqt3,
22059,potassium voltage-gated channel subfamily kqt member 3,
22060,voltage-gated potassium channel subunit kv7.3,
22061,kcna7,
22062,potassium voltage-gated channel subfamily a member 7,
22063,voltage-gated potassium channel subunit kv1.7,
22064,kcnq5,ORPHA:178469
22065,kqt-like 5,
22066,potassium channel subunit alpha kvlqt5,
22067,potassium voltage-gated channel subfamily kqt member 5,
22068,voltage-gated potassium channel subunit kv7.5,
22069,kcnq4,ORPHA:90635
22070,kqt-like 4,
22071,potassium channel subunit alpha kvlqt4,
22072,potassium voltage-gated channel subfamily kqt member 4,
22073,voltage-gated potassium channel subunit kv7.4,
22074,eag1,
22075,eag1 gn  ,
22076,eag channel 1,
22077,ether-a-go-go potassium channel 1,
22078,h-eag,
22079,heag1,
22080,kcnh1,ORPHA:3473
22081,potassium voltage-gated channel subfamily h member 1,
22082,synonyms=eag,
22083,voltage-gated potassium channel subunit kv10.1,
22084,hpcn2,
22085,kcna4,OMIM:618284
22086,kcna4l,
22087,potassium voltage-gated channel subfamily a member 4,
22088,voltage-gated k(+) channel hukii,
22089,voltage-gated potassium channel hbk4,
22090,voltage-gated potassium channel hk1,
22091,voltage-gated potassium channel subunit kv1.4,
22092,hpcn1,
22093,kcna5,ORPHA:334
22094,potassium voltage-gated channel subfamily a member 5,
22095,voltage-gated potassium channel hk2,
22096,voltage-gated potassium channel subunit kv1.5,
22097,hgk5,
22098,hgk5,
22099,hlk3,
22100,hpcn3,
22101,kcna3,
22102,potassium voltage-gated channel subfamily a member 3,
22103,voltage-gated k(+) channel hukiii,
22104,voltage-gated potassium channel subunit kv1.3,
22105,kcna6,
22106,potassium voltage-gated channel subfamily a member 6,
22107,voltage-gated potassium channel hbk2,
22108,voltage-gated potassium channel subunit kv1.6,
22109,kcnc1,ORPHA:435438
22110,ngk2,
22111,potassium voltage-gated channel subfamily c member 1,
22112,voltage-gated potassium channel subunit kv3.1,
22113,voltage-gated potassium channel subunit kv4,
22114,kcnd2,
22115,kiaa1044,
22116,potassium voltage-gated channel subfamily d member 2,
22117,voltage-gated potassium channel subunit kv4.2,
22118,kcnb2,
22119,potassium voltage-gated channel subfamily b member 2,
22120,voltage-gated potassium channel subunit kv2.2,
22121,kcnc4,
22122,kshiiic,
22123,potassium voltage-gated channel subfamily c member 4,
22124,synonyms=c1orf30,
22125,voltage-gated potassium channel subunit kv3.4,
22126,kcnc3,ORPHA:98768
22127,kshiiid,
22128,potassium voltage-gated channel subfamily c member 3,
22129,voltage-gated potassium channel subunit kv3.3,
22130,delayed rectifier potassium channel 1,
22131,drk1,
22132,h-drk1,
22133,kcnb1,ORPHA:442835
22134,potassium voltage-gated channel subfamily b member 1,
22135,voltage-gated potassium channel subunit kv2.1,
22136,kcna10,
22137,potassium voltage-gated channel subfamily a member 10,
22138,voltage-gated potassium channel subunit kv1.8,
22139,kcnv1,
22140,neuronal potassium channel alpha subunit hnka,
22141,potassium voltage-gated channel subfamily v member 1,
22142,voltage-gated potassium channel subunit kv8.1,
22143,eag2,
22144,ether-a-go-go potassium channel 2,
22145,heag2,
22146,kcnh5,OMIM:620537
22147,potassium voltage-gated channel subfamily h member 5,
22148,voltage-gated potassium channel subunit kv10.2,
22149,kcng3,
22150,potassium voltage-gated channel subfamily g member 3,
22151,voltage-gated potassium channel subunit kv10.1,
22152,voltage-gated potassium channel subunit kv6.3,
22153,kcng3,
22154,kcng4,
22155,potassium voltage-gated channel subfamily g member 4,
22156,voltage-gated potassium channel subunit kv6.4,
22157,kcnv2,ORPHA:209932
22158,potassium voltage-gated channel subfamily v member 2,
22159,voltage-gated potassium channel subunit kv8.2,
22160,delayed-rectifier k(+) channel alpha subunit 1,
22161,kcns1,
22162,potassium voltage-gated channel subfamily s member 1,
22163,voltage-gated potassium channel subunit kv9.1,
22164,elk1,
22165,elk3,
22166,elk channel 3,
22167,ether-a-go-go-like potassium channel 3,
22168,helk1,
22169,kcnh8,
22170,potassium voltage-gated channel subfamily h member 8,
22171,voltage-gated potassium channel subunit kv12.1,
22172,kcnc2,OMIM:619913
22173,potassium voltage-gated channel subfamily c member 2,
22174,shaw-like potassium channel,
22175,voltage-gated potassium channel kv3.2,
22176,delayed-rectifier k(+) channel alpha subunit 3,
22177,kcns3,
22178,potassium voltage-gated channel subfamily s member 3,
22179,voltage-gated potassium channel subunit kv9.3,
22180,eag-related protein 2,
22181,erg2,
22182,erg-2,
22183,ether-a-go-go-related gene potassium channel 2,
22184,ether-a-go-go-related protein 2,
22185,herg2,
22186,herg-2,
22187,kcnh6,
22188,potassium voltage-gated channel subfamily h member 6,
22189,voltage-gated potassium channel subunit kv11.2,
22190,kcnf1,
22191,kh1,
22192,potassium voltage-gated channel subfamily f member 1,
22193,voltage-gated potassium channel subunit kv5.1,
22194,eag-related protein 3,
22195,erg3,
22196,erg-3,
22197,ether-a-go-go-related gene potassium channel 3,
22198,ether-a-go-go-related protein 3,
22199,herg-3,
22200,kcnh7,
22201,potassium voltage-gated channel subfamily h member 7,
22202,voltage-gated potassium channel subunit kv11.3,
22203,kcnd1,
22204,potassium voltage-gated channel subfamily d member 1,
22205,voltage-gated potassium channel subunit kv4.1,
22206,kcng1,
22207,kh2,
22208,potassium voltage-gated channel subfamily g member 1,
22209,voltage-gated potassium channel subunit kv6.1,
22210,cardiac potassium channel subunit,
22211,kcnf2,
22212,kcng2,
22213,potassium voltage-gated channel subfamily g member 2,
22214,voltage-gated potassium channel subunit kv6.2,
22215,bec1,
22216,brain-specific eag-like channel 1,
22217,elk2,
22218,elk channel 2,
22219,ether-a-go-go-like potassium channel 2,
22220,kcnh3,
22221,kiaa1282,
22222,potassium voltage-gated channel subfamily h member 3,
22223,voltage-gated potassium channel subunit kv12.2,
22224,delayed-rectifier k(+) channel alpha subunit 2,
22225,kcns2,
22226,kiaa1144,
22227,potassium voltage-gated channel subfamily s member 2,
22228,voltage-gated potassium channel subunit kv9.2,
22229,bec2,
22230,brain-specific eag-like channel 2,
22231,elk1,
22232,elk channel 1,
22233,ether-a-go-go-like potassium channel 1,
22234,kcnh4,
22235,potassium voltage-gated channel subfamily h member 4,
22236,voltage-gated potassium channel subunit kv12.3,
22237,1.17.4.1,
