,Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,GardName,GardId,Orphan
2802,entolimod,,11/23/2010,prevention of death following a potentially lethal dose of total body irradiation during or after a radiation disaster,Designated,,Not FDA Approved for Orphan Indication,,,,,"Statera BioPharma, Inc.",2537 Research Boulevard,Suite 201,Ft. Collins,Colorado,' 80526 ' ,United States,310910,,,
2803,entospletinib,,6/15/2017,treatment of acute myeloid leukemia,Designated,,Not FDA Approved for Orphan Indication,,,,,"Kronos Bio, Inc.","1300 S. El Camino Real, Suite 400",,San Mateo,California,' 94402 ' ,United States,569616,acute myeloid leukemia,"""gard:0012757""",
2804,entospletinib,,4/14/2014,treatment of chronic lymphocytic leukemia,Designated,,Not FDA Approved for Orphan Indication,,,,,"Kronos Bio, Inc.","1300 S. El Camino Real, Suite 400",,San Mateo,California,' 94402 ' ,United States,426714,,,
2805,entospletinib,,8/10/2017,prevention of chronic graft-versus-host disease,Designated,,Not FDA Approved for Orphan Indication,,,,,"Kronos Bio, Inc.","1300 S. El Camino Real, Suite 400",,San Mateo,California,' 94402 ' ,United States,510115,,,
2806,entrectinib,,12/22/2014,treatment of neuroblastoma,Designated/Designation Withdrawn or Revoked,1/7/2020,Not FDA Approved for Orphan Indication,,,,,"Genentech, Inc.",1 DNA Way,MS#241A,South San Francisco,California,' 94080 ' ,United States,462414,neuroblastoma,"""gard:0007185""",
2807,entrectinib,ROZLYTREK,2/3/2015,"treatment of trka-positive, trkb-positive, trkc-positive ros1-positive or alk-positive non-small cell lung cancer",Designated/Approved,,,ROZLYTREK is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are ROS1-positive.,8/15/2019,8/15/2026,For the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are ROS1-positive.,"Genentech, Inc.",1 DNA Way,MS#241A,South San Francisco,California,' 94080 ' ,United States,462914,small cell lung cancer,"""gard:0009344""",
2808,entrectinib,Rozlytrek,7/5/2017,treatment of ntrk fusion-positive solid tumors,Designated/Approved,,,"treatment of adult and pediatric patients older than 1 month of age with solid tumors that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion, as detected by an FDA-approved test without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory alternative therapy",10/20/2023,10/20/2030,"treatment of pediatric patients older than 1 month up to 12 years of age with solid tumors that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion, as detected by an FDA-approved test without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory alternative therapy","Genentech, Inc.",1 DNA Way,MS#241A,South San Francisco,California,' 94080 ' ,United States,587117,,,
2809,entrectinib,Rozlytrek,7/5/2017,treatment of ntrk fusion-positive solid tumors,Designated/Approved,,,"ROZLYTREK is indicated for the treatment of adult and pediatric patients 12 years of age and older with solid tumors that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have either progressed following treatment or have no satisfactory alternative therapy",8/15/2019,8/15/2026,"For the treatment of adult and pediatric patients 12 years of age and older with solid tumors that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have either progressed following treatment or have no satisfactory alternative therapy.","Genentech, Inc.",1 DNA Way,MS#241A,South San Francisco,California,' 94080 ' ,United States,587117,,,
2810,envafolimab,,6/28/2021,treatment of soft tissue sarcoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Tracon Pharmaceuticals, Inc.",4350 LaJolla Village Dr.,Suite 800,San Diego,California,' 92122 ' ,United States,745320,soft tissue sarcoma,"""gard:0004898""",
2811,Envafolimab,,1/16/2020,treatment of biliary tract cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,"3D Medicines (Sichuan) Co., Ltd","64-66, Jiaogui Second Lane, Jinniu District",,Chengdu,Sichuan,' ' ,China,718819,,,
2812,enzastaurin,,3/4/2009,treatment of diffuse large b-cell lymphoma,Designated/Designation Withdrawn or Revoked,11/16/2023,Not FDA Approved for Orphan Indication,,,,,Denovo Biopharma LLC,6331 Nancy Ridge Drive,,San Diego,California,' 92121 ' ,United States,277209,lymphoma,"""gard:0020548""",
2813,Enzastaurin,,9/19/2005,treatment of glioblastoma multiforme,Designated,,Not FDA Approved for Orphan Indication,,,,,Denovo Biopharma LLC,6331 Nancy Ridge Drive,,San Diego,California,' 92121 ' ,United States,208505,glioblastoma,"""gard:0002491""",
2814,enzastaurin,,12/7/2021,treatment of ehlers-danlos syndrome,Designated,,Not FDA Approved for Orphan Indication,,,,,"Aytu BioPharma, Inc.","373 Inverness Parkway, Suite 206",,Englewood,Colorado,' 80112 ' ,United States,849821,ehlers-danlos syndrome,"""gard:0006322""",
2815,enzyme transport vehicle specific for the transferrin receptor fused to iduronate 2-sulfatase,,2/19/2019,treatment of mucopolysaccharidosis type ii,Designated,,Not FDA Approved for Orphan Indication,,,,,Denali Therapeutics Inc.,"151 Oyster Point Blvd, Second Floor",,South San Francisco,California,' 94080 ' ,United States,671118,mucopolysaccharidosis,"""gard:0007065""",
2816,epacadostat,,2/11/2016,treatment of stage iib-iv melanoma.,Designated,,Not FDA Approved for Orphan Indication,,,,,Incyte Corporation,1801 Augustine Cut-Off,,Wilmington,Delaware,' 19803 ' ,United States,493015,noma,"""gard:0004001""",
2817,epalrestat,,3/26/2020,"treatment of phosphomannomutase-2 deficiency, a congenital disorder of glycosylation",Designated,,Not FDA Approved for Orphan Indication,,,,,Maggie's Pearl,903 Independence Street,,Sturgis,Michigan,' 49091 ' ,United States,735820,congenital disorder of glycosylation,"""gard:0010307""",
2818,epcoritamab,,3/1/2022,treatment of follicular lymphoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Genmab US, Inc.",777 Scudders Mill Road,"Bldg. 2, 4th Floor",Plainsboro,New Jersey,' 08536 ' ,United States,865921,lymphoma,"""gard:0020548""",
2819,epetraborole hydrochloride,,2/9/2022,treatment of infections caused by nontuberculous mycobacteria (ntm),Designated,,Not FDA Approved for Orphan Indication,,,,,"AN2 Therapeutics, Inc.",P.O. Box 418,,Menlo Park,California,' 94026 ' ,United States,860621,,,
2820,Epidermal growth factor (human),,3/6/1985,for promotion of cutaneous wound healing in extreme burn treatment protocols.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"Ethicon, Inc.",P.O. Box 151,,Somerville,New Jersey,' 08876 ' ,United States,5485,,,
2821,Epidermal growth factor (human),,10/5/1987,for acceleration of corneal epithelial regeneration and the healing of stromal tissue in the condition of non-healing corneal defects.,Designated,,Not FDA Approved for Orphan Indication,,,,,Chiron Vision,500 Iolab Drive,,Claremont,California,' 91711 ' ,United States,14386,,,
2822,epidermal stem cells genetically modified with a gamma-retroviral (rv) vector expressing the full-length LAMB3 cDNA,,11/5/2020,treatment of epidermolysis bullosa,Designated,,Not FDA Approved for Orphan Indication,,,,,Holostem S.r.l.,Via Glauco Gottardi 100,,Modena,,' 41125 ' ,Italy,780320,,,
2823,Epirubicin,,11/28/2023,treatment of malignant glioma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Beijing Inno Medicine Co., Ltd.","No.101-301, 3/F, Building 9, No.4,","Xishan Creative Park, Haidian District",Beijing,,' ' ,China,971923,,,
2824,Epirubicin,Ellence,9/14/1999,treatment of breast cancer.,Designated/Approved,,,Component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer.,9/15/1999,9/15/2006,,Pharmacia & Upjohn Company,0634-298-113,7000 Portage Rd.,Kalamazoo,Michigan,' 49001 ' ,United States,121498,,,
2825,epirubicin-conjugated polymer micelles,,7/13/2017,treatment of soft tissue sarcoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"NanoCarrier Co., Ltd",Chuou 144-15,226-39 Wakashiba,Kashiwa,Chiba,' ' ,Japan,588517,soft tissue sarcoma,"""gard:0004898""",
2826,Episcleral Topotecan,,7/24/2019,treatment of retinoblastoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"Targeted Therapy Technologies, LLC., DBA: 3T Ophthalmics",3972 Barranca Parkway,Suite J-185,Irvine,California,' 92606 ' ,United States,694519,retinoblastoma,"""gard:0007563""",
2827,Epitalon,,9/2/2010,treatment of retinitis pigmentosa,Designated/Designation Withdrawn or Revoked,1/6/2016,Not FDA Approved for Orphan Indication,,,,,BioDiem Ltd,"Level 10, South Tower",Victoria 3000,Melbourne,,' ' ,Australia,312010,retinitis pigmentosa,"""gard:0005694""",
2828,eplontersen,Wainua,1/6/2022,treatment of transthyretin-mediated amyloidosis,Designated/Approved,,,Treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults,12/21/2023,12/21/2030,Treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults,"Ionis Pharmaceuticals, Inc.",2855 Gazelle Ct,,Carlsbad,California,' 92010 ' ,United States,827521,amyloidosis,"""gard:0018676""",
2829,Epoetin alfa,Epogen,7/1/1991,treatment of anemia associated with hiv infection or hiv treatment.,Designated/Approved,,,Treatment of AZT-induced anemia in HIV infected patients.,12/31/1990,12/31/1997,,"Amgen, Inc.",1840 Dehavilland Drive,,Thousand Oaks,California,' 91320 ' ,United States,56490,,,
2830,Epoetin alfa,,12/20/1993,treatment of myelodysplastic syndrome.,Designated,,Not FDA Approved for Orphan Indication,,,,,"Johnson & Johnson Pharmaceutical Research & Dev.,",920 U.S. Highway,"Route 202, P.O. Box 300",Raritan,New Jersey,' 08869 ' ,United States,78793,myelodysplastic syndrome,"""gard:0007132""",
2831,Epoetin alfa,Epogen,4/10/1986,treatment of anemia associated with end stage renal disease.,Designated/Approved,,,"Treatment of anemia associated with chronic renal failure, including patients on dialysis (end stage renal disesae) and patients not on dialysis",6/1/1989,6/1/1996,,"Amgen, Inc.",1840 Dehavilland Drive,,Thousand Oaks,California,' 91320 ' ,United States,12486,,,
2832,Epoetin alpha,,3/7/1989,treatment of hiv associated anemia related to hiv infection or hiv treatment.,Designated,,Not FDA Approved for Orphan Indication,,,,,R. W. Johnson Pharmaceutical Research Institute,"Route 202, P.O. Box 300",,Raritan,New Jersey,' 08869 ' ,United States,32688,,,
2833,Epoetin alpha,,8/27/1987,treatment of anemia associated with end stage renal disease.,Designated,,Not FDA Approved for Orphan Indication,,,,,R. W. Johnson Pharmaceutical Research Institute,Route 202 South,P.O. Box 300,Raritan,New Jersey,' 08869 ' ,United States,17186,,,
2834,Epoetin alpha,,7/21/1988,treatment of anemia of prematurity in preterm infants.,Designated/Designation Withdrawn or Revoked,10/28/2013,Not FDA Approved for Orphan Indication,,,,,"Janssen Research & Development, LLC",1400 McKean Road,P.O. Box 776,Spring House,Pennsylvania,' 19477 ' ,United States,21987,,,
2835,Epoetin beta,,10/22/1987,treatment of anemia associated with end stage renal disease.,Designated,,Not FDA Approved for Orphan Indication,,,,,"Chugai-USA, Inc.",3780 Hawthorn Court,,Waukegan,Illinois,' 60087 ' ,United States,22987,,,
2836,Epoprostenol,,3/29/1984,replacement of heparin in patients requiring hemodialysis and who are at risk of hemmorrage,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,' 27709 ' ,United States,783,,,
2837,epoprostenol,Flolan,3/22/1999,treatment of secondary pulmonary hypertension due to intrinsic precapillary pulmonary vascular disease.,Designated/Approved,,,treatment of pulmonary arterial hypertension (WHO Group 1) to improve exercise capacity. Studies establishing effectiveness included predominantly patients with NYHA Functional Class III-IV symptoms and etiologies of idiopathic or heritable PAH or PAH associated with connective tissue diseases.,4/14/2000,4/14/2007,,GlaxoSmithKline,2301 Renaissance Blvd,P. O. Box 61540,King of Prussia,Pennsylvania,' 19406 ' ,United States,121698,,,
2838,Epoprostenol,Flolan,9/25/1985,treatment of primary pulmonary hypertension.,Designated/Approved,,,Long-term intravenous treatment of primary pulmonary hypertension in NYHA Class III and Class IV patients.,9/20/1995,9/20/2002,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,' 27709 ' ,United States,8785,,,
2839,Epoprostenol,,10/29/1984,replacement of heparin in patients requiring hemodialysis and who are at increased risk of hemorrhage.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,Upjohn Company,301 Henrietta Street,,Kalamazoo,Michigan,' 49001 ' ,United States,2884,,,
2840,epoprostenol,,4/20/2020,treatment of frostbite,Designated,,Not FDA Approved for Orphan Indication,,,,,"LutaFlo Therapeutics, LLC","102 N Water St, Suite 612",,Milwaukee,Wisconsin,' 53202 ' ,United States,705119,,,
2841,epratuzumab,,7/13/1998,treatment of non-hodgkin's lymphoma,Designated/Designation Withdrawn or Revoked,5/15/2019,Not FDA Approved for Orphan Indication,,,,,"Immunomedics, Inc.",300 American Road,,Morris Plains,New Jersey,' 07950 ' ,United States,113298,lymphoma,"""gard:0020548""",
2842,epratuzumab,,9/30/2008,treatment of acute lymphoblastic leukemia,Designated/Designation Withdrawn or Revoked,2/4/2020,Not FDA Approved for Orphan Indication,,,,,"Immunomedics, Inc.",300 American Road,,Morris Plains,New Jersey,' 07950 ' ,United States,260908,acute lymphoblastic leukemia,"""gard:0000522""",
2843,eprenetapopt,,4/7/2021,treatment of acute myeloid leukemia,Designated,,Not FDA Approved for Orphan Indication,,,,,"Aprea Therapeutics, Inc.",535 Boylston Street,2nd Floor,Boston,Massachusetts,' 02116 ' ,United States,797420,acute myeloid leukemia,"""gard:0012757""",
2844,eprodisate,,4/6/1999,treatment of secondary amyloidosis,Designated,,Not FDA Approved for Orphan Indication,,,,,"C. T. Development America, Inc.",663 Fifth Avenue,7th Floor,New York,New York,' 10022 ' ,United States,118998,amyloidosis,"""gard:0018676""",
2845,Epstein Barr Virus specific cytotoxic T lymphocytes,,12/27/2006,prevention and treatment of ebv-post transplant lymphoproliferative disease after hematopoietic stem cell transplant or solid organ transplant.,Designated/Designation Withdrawn or Revoked,4/24/2015,Not FDA Approved for Orphan Indication,,,,,Center for Cell and Gene Therapy,Feigin Center,Suite 1120,Houston,Texas,' 77030 ' ,United States,223906,,,
2846,Epstein-Barr Virus envelope glycoprotein 350 (gp350)-directed genetically modified autologous chimeric antigen receptor (CAR)-T cells,,5/31/2023,treatment of nasopharyngeal carcinoma,Designated,,Not FDA Approved for Orphan Indication,,,,,Biosyngen Pte. Ltd.,"31 Rochester Drive, #02-57/58, Park Avenue Rochester",,,Singapore,' 138637 ' ,Singapore,940623,nasopharyngeal carcinoma,"""gard:0007163""",
2847,Epstein-Barr virus-specific autologous cytotoxic T lymphocytes,,6/12/2014,treatment of epstein-barr virus positive head and neck cancers (which includes nasopharyngeal carcinoma),Designated/Designation Withdrawn or Revoked,5/9/2022,Not FDA Approved for Orphan Indication,,,,,Tessa Therapeutics Pte.,8 Temasek Blvd #24-02,,Suntec Tower Three,,' ' ,Singapore,434714,nasopharyngeal carcinoma,"""gard:0007163""",
2848,eptifibatide and iloprost,,4/20/2012,treatment of purpura fulminans,Designated,,Not FDA Approved for Orphan Indication,,,,,Thrombologic,COBIS/Ole Maaloesvej 3,,2200 Copenhagen,,' ' ,Denmark,364012,,,
2849,erdosteine,,12/20/2013,treatment of bronchiectasis.,Designated,,Not FDA Approved for Orphan Indication,,,,,"Alitair Pharmaceuticals, Inc.",55 Madison Avenue,Suite 400,Morristown,New Jersey,' 07960 ' ,United States,417413,,,
2850,eribulin mesylate,Halaven,5/14/2012,treatment of soft tissue sarcoma,Designated/Approved,,,Treatment of patients with unresectable or metastatic liposarcoma who have received a prior anthracyclne-containing regimen,1/28/2016,1/28/2023,Treatment of patients with unresectable or metastatic liposarcoma who have received a prior anthracyclne-containing regimen,Eisai Inc.,200 Metro Blvd.,,Nutley,New Jersey,' 07110-6102 ' ,United States,367112,soft tissue sarcoma,"""gard:0004898""",
2851,Erlotinib Hydrochloride,,7/18/2003,treatment of malignant gliomas,Designated,,Not FDA Approved for Orphan Indication,,,,,"Genentech, Inc",1 DNA Way,,South San Francisco,California,' 94080 ' ,United States,172003,,,
2852,Erwinia L-asparaginase,Erwinase,7/30/1986,treatment of acute lymphocytic leukemia.,Designated/Approved/Designation Withdrawn or Revoked,5/10/2021,,Treatment of patients with acute lymphoblastic leukemia (ALL) who have developed hypersensitivity to E. coli-derived asparaginase.,11/18/2011,11/18/2018,,"Jazz Pharmaceuticals, Inc.",3180 Porter Drive,,Palo Alto,California,' 94304 ' ,United States,15186,,,
2853,Erwinia L-asparaginase,,1/25/1985,for use as an alternative to e. coli asparaginase in those situations where repeat courses of asparaginase therapy for acute lymphoblastic leukemia are required or where allergic reactions force the discontinuance of the e. coli preparation.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"Lyphomed, Inc.",,,,,' ' ,,4684,acute lymphoblastic leukemia,"""gard:0000522""",
2854,"Erythropoietin (human, recombinant)",,11/19/1987,treatment of anemia associated with end stage renal disease.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,Organon Teknika Corporation,,,,,' ' ,,18987,,,
2855,Erythropoietin (recombinant human),,8/19/1987,treatment of anemia associated with end stage renal disease.,Designated,,Not FDA Approved for Orphan Indication,,,,,McDonnell Douglas Corp,"P.O. Box 516, 107/2 MS10",,St. Louis,Missouri,' 63166 ' ,United States,17886,,,
2856,esomeprazole,,5/15/2019,treatment of eosinophilic esophagitis,Designated,,Not FDA Approved for Orphan Indication,,,,,"Adare Pharmaceuticals US, L.P.",Princeton Pike Corporate Center,"1200 Lenox Drive, Suite 100",Lawrenceville,New Jersey,' 08648 ' ,United States,684119,,,
2857,estetrol,,3/28/2019,treatment of neonatal hypoxic ischemic encephalopathy,Designated,,Not FDA Approved for Orphan Indication,,,,,Mithra Pharmaceuticals S.A.,5-7 Rue St Georges,,Liège,,' ' ,Belgium,678119,,,
2858,estradiol Gel,,10/31/2006,estrogen replacement therapy in females with turner syndrome,Designated,,Not FDA Approved for Orphan Indication,,,,,"Ascend Therapeutics US, LLC",15 Mount Kemble Avenue,,Morristown,New Jersey,' 07960 ' ,United States,231706,turner syndrome,"""gard:0007831""",
2859,etanercept,Enbrel,10/27/1998,reduction in signs and symptoms of moderately to severely active polyarticular-course juvenile rheumatoid arthritis in patients who have had an inadequate response to one or more disease-modifying anti-rheumatic drugs.,Designated/Approved,,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis (JIA) in patients ages 2 and older,5/27/1999,5/27/2006,,Immunex Corporation,One Amgen Center Drive,,Thousand Oaks,California,' 91320 ' ,United States,116198,,,
2860,Etanercept,,4/6/1999,treatment of wegener's granulomatosis.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,Immunex Corporation,51 University Street,,Seattle,Washington,' 98101 ' ,United States,122999,,,
2861,etaracizumab,,4/14/2004,"for the treatment of of stage iib, stage iic, stage iii and stage iv melanoma",Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"MedImmune, LLC",One MedImmune Way,,Gaithersburg,Maryland,' 20878 ' ,United States,178403,noma,"""gard:0004001""",
2862,etarfolatide,,2/16/2000,for the identification of ovarian carcinomas,Designated,,Not FDA Approved for Orphan Indication,,,,,"Endocyte, Inc.",3000 Kent Ave.,Suite A1-100,West Lafayette,Indiana,' 47906 ' ,United States,131399,noma,"""gard:0004001""",
2863,etavopivat,,2/19/2020,treatment of sickle cell disease,Designated,,Not FDA Approved for Orphan Indication,,,,,"FORMA Therapeutics, Inc.",300 North Beacon Street,Suite 501,Watertown,Massachusetts,' 02472 ' ,United States,728919,,,
2864,etelcalcetide,,5/31/2017,treatment of pediatric hyperparathyroidism,Designated,,Not FDA Approved for Orphan Indication,,,,,"Amgen, Inc.",1 Amgen Center Drive,,Thousand Oaks,California,' 91320 ' ,United States,567616,,,
2865,eteplirsen,Exondys 51,10/23/2007,treatment of duchenne muscular dystrophy.,Designated/Approved,,,Treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 51 skipping,9/19/2016,9/19/2023,Treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 51 skipping,"Sarepta Therapeutics, Inc.",215 First Street,Suite 415,Cambridge,Massachusetts,' 02142 ' ,United States,248407,muscular dystrophy,"""gard:0007922""",
2866,Ethanol gel,,3/29/2006,treatment of congenital venous malformations,Designated/Designation Withdrawn or Revoked,7/15/2015,Not FDA Approved for Orphan Indication,,,,,Orfagen,CRDPF - LANGLADE,,Toulouse,Cedex,' ' ,France,212205,,,
2867,Ethanol gel,,3/13/2006,treatment of congenital lymphatic malformations,Designated/Designation Withdrawn or Revoked,7/15/2015,Not FDA Approved for Orphan Indication,,,,,Orfagen,CRDPF - LANGLADE,,Toulouse,Cedex,' ' ,France,212505,,,
2868,ethanolamine,,1/17/2014,prophylactic use in pediatric patients (age 0 through 16 years) with esophageal varices that are at risk of bleeding to obliterate varices and to prevent bleeding,Designated,,Not FDA Approved for Orphan Indication,,,,,"QOL Medical, LLC","4445 North Highway A1A, 241",,Vero Beach,Florida,' 32963 ' ,United States,416713,,,
2869,Ethanolamine oleate,Ethamolin,3/22/1984,"treatment of patients with esophageal varices that have recently bled, to prevent rebleeding.",Designated/Approved,,,,12/22/1988,12/22/1995,,QOL Medical,"4445 North Highway A1A, 241",,Vero Beach,Florida,' 32963 ' ,United States,1484,,,
2870,"Ethenesulfonamide, 2-[(2R)-1,2-dimethyl-2- pyrrolidinyl]-N-[[(1,2,3,5,6,7-hexahydro-s-indacen-4- yl)amino]carbonyl]-, (1E)-",,3/17/2023,treatment of cryopyrin associated periodic syndromes (caps),Designated,,Not FDA Approved for Orphan Indication,,,,,Zydus Therapeutics Inc.,73C Route 31 North,,Pennington,New Jersey,' 08534 ' ,United States,929522,c syndrome,"""gard:0005978""",
2871,"Ethinyl Estradiol, USP",,6/22/1988,treatment of turner's syndrome.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,Bio-Technology General Corp.,"70 Wood Avenue, South",,Iselin,New Jersey,' 08830 ' ,United States,28788,,,
2872,ethiodized oil injection,Lipiodol,9/26/2013,management of patients with known hepatocellular carcinoma (hcc),Designated/Approved,,,Selective hepatic intra-arterial use for imaging tumors in adults with known hepatocellular carcinoma (HCC),4/4/2014,4/4/2021,Selective hepatic intra-arterial use for imaging tumors in adults with known hepatocellular carcinoma (HCC),Guerbet LLC,"120 West 7th St., Suite 108",,Bloomington,Indiana,' 47404 ' ,United States,400113,hepatocellular carcinoma,"""gard:0016773""",
2873,Ethiofos,,8/1/1989,use as a chemoprotective agent for cisplatin and cyclophosphamide in the treatment of ovarian cancer.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,U.S. Bioscience,100 Front Street,,West Conshohocken,Pennsylvania,' 19428 ' ,United States,24187,ovarian cancer,"""gard:0007295""",
2874,"Ethyl 4-(3,4-dimethoxyphenyl)-6,7-dimethoxy-2-(1,2,4-triazol-1-ylmethyl)quinoline-3-carboxylate",,5/13/1998,treatment of crohn's disease.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,Tap Holdings Inc.,2355 Waukegan Road,,Deerfield,Illinois,' 60015 ' ,United States,112698,,,
2875,Ethyl eicosapentaenoate,,4/6/2000,treatment of huntington's disease.,Designated,,Not FDA Approved for Orphan Indication,,,,,Laxdale Ltd.,"Kings Park House, Laurelhill Business Park",Polmaise Road,Stirling,,' ' ,United Kingdom,134300,,,
2876,Etidronate disodium,Didronel,3/21/1986,treatment of hypercalcemia of malignancy inadequately managed by dietary modification and/or oral hydration.,Designated/Approved,,,,4/21/1987,4/21/1994,,"MGI Pharma, Inc.",5775 West Old Shakoppe Rd.,Suite 100,Bloomington,Minnesota,' 55437 ' ,United States,12185,,,
2877,Etidronate disodium,,5/2/1991,prevention of degenerative metabolic bone disease occurring in patients who require long term (6 months or greater) total parenteral nutrition.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"MGI Pharma, Inc.",6300 West Old Shakoppe Rd.,Suite 110,Bloomington,Minnesota,' 55438 ' ,United States,49890,,,
2878,Etidronate disodium,,5/2/1991,treatment of degenerative metabolic bone disease occurring in patients who require long term (6 months or greater) total parenteral nutrition.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"MGI Pharma, Inc.",6300 West Old Shakoppe Rd.,Suite 110,Bloomington,Minnesota,' 55438 ' ,United States,49790,,,
2879,Etiocholanedione,,11/3/1995,treatment of aplastic anemia.,Designated,,Not FDA Approved for Orphan Indication,,,,,"SuperGen, Inc.",4140 Dublin Blvd.,Suite 200,Dublin,California,' 94568 ' ,United States,92695,aplastic anemia,"""gard:0020234""",
2880,Etiocholanedione,,5/7/1996,treatment of prader-willi syndrome.,Designated,,Not FDA Approved for Orphan Indication,,,,,"SuperGen, Inc.",4140 Dublin Blvd.,Suite 200,Dublin,California,' 94568 ' ,United States,95896,prader-willi syndrome,"""gard:0005575""",
2881,etirinotecan pegol,,4/18/2011,treatment of ovarian cancer.,Designated,,Not FDA Approved for Orphan Indication,,,,,Nektar Therapeutics,"455 Mission Bay Blvd, South",,San Francisco,California,' 94158 ' ,United States,338011,ovarian cancer,"""gard:0007295""",
2882,etoposide toniribate,,2/11/2019,treatment of biliary tract cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,CellAct Pharma GmbH,Otto-Hahn str. 15,,Dortmund,,' 44227 ' ,Germany,671318,,,
2883,etranacogene dezaparvovec-drlb,Hemgenix,4/17/2019,treatment of hemophilia b,Designated/Approved,,,"Treatment of adults with Hemophilia B (congenital Factor IX deficiency) who: currently use Factor IX prophylaxis therapy, or; have current or historical life-threatening hemorrhage, or; have repeated, serious spontaneous bleeding episodes",11/22/2022,11/22/2029,"Treatment of adults with Hemophilia B (congenital Factor IX deficiency) who: currently use Factor IX prophylaxis therapy, or; have current or historical life-threatening hemorrhage, or; have repeated, serious spontaneous bleeding episodes",CSL Behring LLC,1020 First Avenue,P.O. Box 61501,King of Prussia,Pennsylvania,' 19406-0901 ' ,United States,632918,hemophilia,"""gard:0010418""",
2884,Etrasimod L-arginine,,6/8/2021,treatment of eosinophilic esophagitis (eoe),Designated,,Not FDA Approved for Orphan Indication,,,,,"Arena Pharmaceuticals, Inc.",6154 Nancy Ridge Drive,,San Diego,California,' 92121 ' ,United States,723019,,,
2885,etrolizumab,,8/22/2016,treatment of pediatric patients with ulcerative colitis,Designated/Designation Withdrawn or Revoked,12/15/2022,Not FDA Approved for Orphan Indication,,,,,"Genentech, Inc.",1 Dna Way,,South San Francisco,California,' 94080 ' ,United States,531116,,,
2886,etrolizumab,,7/13/2017,treatment of pediatric crohn's disease.,Designated/Designation Withdrawn or Revoked,12/15/2022,Not FDA Approved for Orphan Indication,,,,,"Genentech, Inc.",1 Dna Way,,South San Francisco,California,' 94080 ' ,United States,531216,,,
2887,"Eubacterial Spores, Purified Suspension, Encapsulated",,11/27/2017,treatment of pediatric ulcerative colitis,Designated,,Not FDA Approved for Orphan Indication,,,,,"Seres Therapeutics, Inc.",200 Sidney Street,,Cambridge,Massachusetts,' 02139 ' ,United States,617517,,,
