Display Name,UNII,Status,Record Protection Status,Expr1004,Generic Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication * (Shown for approvals from Jan,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
"""ZOLEDRONATE D,L-LYSINE MONOHYDRATE""",IL1N7FSO1U,Designated,Public record,3569,"zoledronate D,L-lysine monohydrate (ZLM)",4/15/2015,Treatment of complex regional pain syndrome (CRPS),Designated,Not FDA Approved for Orphan Indication,,,,,"Thar Pharma, LLC",150 Gamma Dr.,,Pittsburgh,Pennsylvania,15238,United States,461014
PACLITAXEL TREVATIDE,8P77G99D3P,Designated,Public record,3570,[Î±â¿¿N-(2â¿¿succinyl-paclitaxel)Thr]-Phe-Phe-Tyr-Gly-Gly-Ser-Arg-Gly-[Îµâ¿¿N-(2â¿¿succinyl-paclitaxel)Lys]-Arg-Asn-Asn-Phe-[Îµâ¿¿N-(2â¿¿succinyl-paclitaxel)Lys]-Thr-Glu-Glu-Tyr,4/15/2015,Treatment of breast cancer patients with brain metastases,Designated,Not FDA Approved for Orphan Indication,,,,,"Angiochem, Inc.",201 President Kennedy,,Montreal,,,Canada,446614
TRX-E-002-1,5DVS457HEG,Designated,Public record,3572,cantrixil,4/20/2015,Treatment of ovarian cancer,Designated,Not FDA Approved for Orphan Indication,,,,,Kazia Therapeutics Limited,20 George Street,Suite 207,Hornsby,New South Wales,,Australia,474815
CAP-1002,ZM7OCV7H6H,Designated,Public record,3573,allogeneic cardiosphere-derived cells,4/21/2015,Treatment of Duchenne Muscular Dystrophy,Designated,Not FDA Approved for Orphan Indication,,,,,"Capricor, Inc.",8840 Wilshire Boulevard,2nd Floor,Beverly HIlls,California,90211,United States,474615
CANNABIDIOL,19GBJ60SN5,Designated,Public record,3574,cannabidiol,4/22/2015,Treatment of neonatal hypoxic ischemic encephalopathy,Designated,Not FDA Approved for Orphan Indication,,,,,GW Pharma Ltd.,15 T.W. Alexander Drive,P. O. Box 13547,Research Triangle Park,North Carolina,27709,United States,471815
ATYR-1940,WS7U5TQ7ZJ,Designated,Public record,3575,recombinant human histidyl tRNA synthetase,4/22/2015,Treatment of facioscapulohumeral muscular dystrophy,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"aTyr Pharma, Inc.",3545 John Hopkins Court,Suite 250,San Diego,California,92121,United States,474215
DOCONEXENT,ZAD9OKH9JC,Designated,Public record,3577,docosahexaenoic acid,4/27/2015,Treatment of sickle cell disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Micelle BioPharma, Inc.","3874 Fiscal Ct., #200",,Riviera Beach,Florida,33404,United States,454314
PROPRANOLOL,9Y8NXQ24VQ,Designated,Public record,3579,propranolol and etodolac,4/27/2015,Treatment of pancreatic cancer.,Designated,Not FDA Approved for Orphan Indication,,,,,"Vicus Therapeutics, LLC",55 Madison Avenue,Suite 400,Morristown,New Jersey,7960,United States,475715
ETODOLAC,2M36281008,Designated,Public record,3579,propranolol and etodolac,4/27/2015,Treatment of pancreatic cancer.,Designated,Not FDA Approved for Orphan Indication,,,,,"Vicus Therapeutics, LLC",55 Madison Avenue,Suite 400,Morristown,New Jersey,7960,United States,475715
DEZAPELISIB,2K59L7G59M,Designated,Public record,3580,"(S)-7-(1-(9H-purin-6-ylamino)ethyl)-6-(3-fluorophenyl)-3-methyl-5H-thiazolo[3,2-a]pyrimidin-5-one",4/29/2015,Treatment of Hodgkin lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,Incyte Corporation,1801 Augustine Cut-Off,,Wilmington,Delaware,19803,United States,476215
LENALIDOMIDE,F0P408N6V4,Designated,Public record,3581,lenalidomide,4/29/2015,Treatment of extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue,Designated/Approved,,"REVLIMID in combination with a rituximab product, is indicated for the treatment of adult patients with previously treated marginal zone lymphoma (MZL).",5/28/2019,5/28/2026,In combination with a rituximab product for the treatment of adult patients with previously treated extranodal marginal zone lymphoma,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,476115
ANTROQUINONOL,AX9P92T7JZ,Designated,Public record,3582,antroquinonol,4/30/2015,Treatment of acute myeloid leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,Golden Biotechnology Corporation,"10F, No. 9, Ln. 3, Sec. 1, Zhong-Zheng E. Rd",,New Taipei City 251,,,Taiwan,476315
ELECLAZINE,PUY08529FK,Designated/Withdrawn,Public record,3583,"4-(pyrimidin-2-ylmethyl)-7-[4-(trifluoromethoxy)phenyl]-3,4-dihydro-1,4-benzoxazepin-5(2H)-one",5/4/2015,Treatment of congenital long QT syndrome,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,446214
PHOSPHOPANTOTHENIC ACID,1SCE5NG3E8,Designated,Public record,3585,pantothenate phosphate,5/4/2015,Treatment of pantothenate kinase associated neurodegeneration (PKAN).,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Retrophin, Inc.",777 Third Avenue,22nd Floor,New York,New York,10017,United States,427114
PELAREOREP,S9J80L3D1U,Designated,Public record,3586,pelareorep,5/4/2015,Treatment of gastric cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"Oncolytics Biotech, Inc.","210, 1167 Kensington Crescent NW",,Calgary,,,Canada,478315
TACROLIMUS,WM0HAQ4WNM,Designated,Public record,3587,tacrolimus,5/4/2015,Treatment of pulmonary arterial hypertension,Designated,Not FDA Approved for Orphan Indication,,,,,Stanford University School of Medicine,300 Pasteur Drive,Room H3143,Stanford,California,94305,United States,472815
TADALAFIL,742SXX0ICT,Designated,Public record,3588,tadalafil,5/4/2015,Treatment of Duchenne Muscular Dystrophy (DMD),Designated,Not FDA Approved for Orphan Indication,,,,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,46285,United States,476415
TALACOTUZUMAB,X8JR0I7JE1,Designated,Public record,3589,humanized monoclonal antibody that targets the a-subunit of the human IL-3 receptor also known as the CD123 antigen; (JNJ-56022473),5/5/2015,Treatment of acute myeloid leukemia,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Janssen Research & Development, LLC",920 Route 202 South,,Raritan,New Jersey,8869,United States,478715
EDARAVONE,S798V6YJRP,Designated/Approved,Public record,3591,edaravone,5/12/2015,Treatment of amyotrophic lateral sclerosis,Designated/Approved,,Treatment of amyotrophic lateral sclerosis (ALS),5/12/2022,,,Mitsubishi Tanabe Pharma Corporation,"17-10, Nihonbashi-Koamicho",,Tokyo,,,Japan,478215
EDARAVONE,S798V6YJRP,Designated/Approved,Public record,3592,edaravone,5/12/2015,Treatment of amyotrophic lateral sclerosis,Designated/Approved,,Treatment of amyotrophic lateral sclerosis (ALS),5/5/2017,5/5/2024,Treatment of amyotrophic lateral sclerosis (ALS),Mitsubishi Tanabe Pharma Corporation,"17-10, Nihonbashi-Koamicho","Chuo-ku,",Tokyo,,,Japan,478215
N-T-BUTYLHYDROXYLAMINE,BQ5JE2DA91,Designated,Public record,3593,N-t-butylhydroxylamine,5/12/2015,Treatment of infantile neuronal ceroid lipofuscinosis.,Designated,Not FDA Approved for Orphan Indication,,,,,Andrew Lim,California Institute of Technology,1200 East California Blvd.,Pasadena,California,91125,United States,478615
FDL169,49PN4S4FDH,Designated,Public record,3594,2-(7-ethoxy-4-(3-fluorophenyl)-1-oxophthalazin-2(1H)-yl)-N-methyl-N-(2-methylbenzo[d]oxazol-6-yl)acetamide,5/13/2015,Treatment of cystic fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,Flatley Discovery Lab,529 Main Street,Suite 115,Charlestown,Massachusetts,2129,United States,479115
ACALABRUTINIB,I42748ELQW,Designated,Public record,3595,acalabrutinib,5/13/2015,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,Treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL),8/4/2022,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080,United States,477415
ACALABRUTINIB,I42748ELQW,Designated,Public record,3596,acalabrutinib,5/13/2015,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,11/21/2019,11/21/2026,Indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080,United States,477415
ADALIMUMAB,FYS6T7F842,Designated/Approved,Public record,3597,adalimumab,5/13/2015,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,Treatment of moderate to severe hidradenitis suppurativa,9/9/2015,9/9/2022,Treatment of moderate to severe hidradenitis suppurativa,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,446414
ADALIMUMAB,FYS6T7F842,Designated/Approved,Public record,3598,adalimumab,5/13/2015,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,Treatment of moderate to severe hidradenitis suppurativa in patients 12 years of age and older.,10/16/2018,10/16/2025,Treatment of moderate to severe hidradenitis suppurativa (HS) in adolescent patients 12 years of age and older.,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,446414
GOSURANEMAB,09FZ7Q0PQZ,Designated,Public record,3599,Anti-eTau Humanized IgG4 Monoclonal Antibody,5/13/2015,Treatment of Progressive Supranuclear Palsy,Designated,Not FDA Approved for Orphan Indication,,,,,"Biogen, Inc.",225 Binney Street,,Cambridge,Massachusetts,2142,United States,477515
UPROLESELAN SODIUM,17ZJN0Q4CJ,Designated,Public record,3600,E-selectin antagonist,5/13/2015,Treatment of acute myeloid leukemia (AML),Designated,Not FDA Approved for Orphan Indication,,,,,"GlycoMimetics, Inc.",401 Professional Drive,Suite 250,Gaithersburg,Maryland,20879,United States,475315
HYDROCORTISONE,WI4X0X7BPJ,Designated,Public record,3601,Hydrocortisone,5/13/2015,Treatment of pediatric adrenal insufficiency (0 through 16 years of age).,Designated/Approved,,ALKINDI® SPRINKLE is indicated as replacement therapy in pediatric patients with adrenocortical insufficiency,9/29/2020,,,"Eton Pharmaceuticals, Inc.","21925 West Field Parkway, Suite 235",,Deer Park,Illinois,60010,United States,441614
REVUSIRAN,ZE6EHM8Z3A,Designated,Public record,3603,revusiran,5/18/2015,Treatment of transthyretin amyloidosis,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Alnylam Pharmaceuticals, Inc.",300 Third Street,,Cambridge,Massachusetts,2142,United States,477615
XENON,3H3U766W84,Designated,Public record,3604,xenon gas,5/18/2015,To improve neurological outcome in hospitalized cardiac arrest patients.,Designated,Not FDA Approved for Orphan Indication,,,,,Neuroprotexeon,Imperial Innovations,London SW7 2PG,London,,,United Kingdom,461914
CHLOROQUINE,886U3H6UFF,Designated,Public record,3605,chloroquine,5/20/2015,Treatment of glioblastoma multiforme.,Designated,Not FDA Approved for Orphan Indication,,,,,"DualTpharma B.,V.",Boschstraat 111-D01,,Maastricht,,,Netherlands,475015
ECHINOMYCIN,TG824J6RQT,Designated,Public record,3606,echinomycin,5/21/2015,Treatment of acute myeloid leukemia.,Designated,Not FDA Approved for Orphan Indication,,,,,"OncoC4, Inc.",9640 Medical Center Drive,,Rockville,Maryland,20850,United States,479815
Lutetium Lu177 Edotreotide,RGO812Q0C8,Designated,Public record,3607,lutetium (177Lu)-edotreotide,5/21/2015,Treatment of gastro-entero-pancreatic neuroendocrine tumors,Designated,Not FDA Approved for Orphan Indication,,,,,ITM Solucin GmbH,Lichtenbergstrasse 1,,Garching,,,Germany,479215
PRASUGREL HYDROCHLORIDE,G89JQ59I13,Designated,Public record,3609,prasugrel hydrochloride,5/26/2015,Treatment of sickle cell disease,Designated,Not FDA Approved for Orphan Indication,,,,,Eli Lilly,Lilly Corporate Center,,Indianapolis,Indiana,46285,United States,473015
IDARUCIZUMAB,97RWB5S1U6,Designated/Approved,Public record,3611,idarucizumab,5/28/2015,To reverse the anticoagulant effect of dabigatran due to uncontrolled life-threatening bleeding requiring urgent intervention or a need to undergo an emergency surgery/urgent invasive procedure,Designated/Approved,,For use in patients treated with Pradaxa® when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding,10/16/2015,10/16/2022,For use in patients treated with Pradaxa® when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding,"Boehringer Ingelheim Pharmaceuticals, Inc.",PO Box 368,900 Ridgebury Road,Ridgefield,Connecticut,6877,United States,445714
NIMODIPINE,57WA9QZ5WH,Designated,Public record,3612,intraventricular nimodipine,5/28/2015,Treatment of subarachnoid hemorrhage,Designated,Not FDA Approved for Orphan Indication,,,,,"Edge Therapeutics, Inc.",211 Warren Street,,Newark,New Jersey,7103,United States,343711
METHOTREXATE,YL5FZ2Y5U1,Designated/Approved,Public record,3613,methotrexate oral solution,5/28/2015,Treatment of acute lymphoblastic leukemia in pediatric patients (0 through 16 years of age),Designated/Approved,,Treatment of pediatric patients with acute lymphoblastic leukemia (ALL) as a component of a combination chemotherapy maintenance regimen,4/25/2017,4/25/2024,Treatment of pediatric patients with acute lymphoblastic leukemia (ALL) as a component of a combination chemotherapy maintenance regimen,"Silvergate Pharmaceuticals, Inc.",6251 Greenwood Plaza Blvd.,Suite 101,Greenwood Village,Colorado,80111,United States,479615
HYDROXYPROGESTERONE CAPROATE,276F2O42F5,Designated,Public record,3614,17-a-hydroxyprogesterone caporate (oral formulation),6/1/2015,Prevention of preterm birth in women with a singleton pregnancy,Designated,Not FDA Approved for Orphan Indication,,,,,"Lipocine, Inc.",675 Arapeen Drive,Suite 202,Salt Lake City,Utah,84108,United States,445314
APTO-253,WB59MRW00U,Designated,Public record,3615,"2-(5-fluoro-2-methyl-1H-indol-3-yl)-1H-imidazo[4,5-f][1,10] phenanthroline",6/1/2015,Treatment of acute myeloid leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"Aptose Biosciences, Inc.",5955 Airport Road,Suite 228,"Mississauga,",,,Canada,480415
DOCONEXENT,ZAD9OKH9JC,Designated,Public record,3616,docosahexaenoic acid,6/1/2015,Treatment of short bowel syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Micelle BioPharma, Inc.","3874 Fiscal Ct., #200",,Riviera Beach,Florida,33404,United States,450214
IBUDILAST,M0TTH61XC5,Designated,Public record,3617,ibudilast,6/1/2015,Treatment of Krabbe disease,Designated,Not FDA Approved for Orphan Indication,,,,,"MediciNova, Inc.",4275 Executive Square,Suite 300,La Jolla,California,92037,United States,480015
REGORAFENIB ANHYDROUS,24T2A1DOYB,Designated/Approved,Public record,3619,regorafenib,6/4/2015,Treatment of hepatocellular carcinoma,Designated/Approved,,Treatment of patients with hepatocellular carcinoma (HCC or liver cancer) who have been previously treated with sorafenib.,4/27/2017,4/27/2024,Treatment of patients with hepatocellular carcinoma (HCC or liver cancer) who have been previously treated with sorafenib.,"Bayer HealthCare Pharmaceuticals, Inc.",100 Bayer Blvd,P. O. Box 915,Whippany,New Jersey,7981,United States,478015
Ersodetug,QD87BSP58N,Designated,Public record,3623,fully human IgG2 monoclonal antibody that binds insulin receptors,6/9/2015,Treatment of congenital hyperinsulinism,Designated,Not FDA Approved for Orphan Indication,,,,,"Rezolute, Inc.",201 Redwood Shores Parkway,,Redwood City,California,94065,United States,430714
IVOSIDENIB,Q2PCN8MAM6,Designated,Public record,3624,ivosidenib,6/9/2015,Treatment of acute myeloid leukemia (AML),Designated/Approved,,TIBSOVO is indicated for the treatment of adult patients with relapsed or refractory acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test.,7/20/2018,7/20/2025,Indicated for the treatment of adult patients with relapsed or refractory acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test,Servier Pharmaceuticals LLC,200 Pier Four Blvd,,Boston,Massachusetts,2210,United States,481515
IVOSIDENIB,Q2PCN8MAM6,Designated,Public record,3625,ivosidenib,6/9/2015,Treatment of acute myeloid leukemia (AML),Designated/Approved,,"In combination with azacitidine or as monotherapy for the treatment of newly diagnosed acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test in adults 75 years or older, or who have",5/25/2022,,,Servier Pharmaceuticals LLC,200 Pier Four Blvd,,Boston,Massachusetts,2210,United States,481515
IVOSIDENIB,Q2PCN8MAM6,Designated,Public record,3626,ivosidenib,6/9/2015,Treatment of acute myeloid leukemia (AML),Designated/Approved,,TIBSOVO is indicated for the treatment of newly-diagnosed acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test in adult patients who are >= 75 years old or who have comorbidities th,5/2/2019,5/2/2026,TIBSOVO is indicated for the treatment of newly-diagnosed acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test in adult patients who are >= 75 years old or who have comorbidities th,Servier Pharmaceuticals LLC,200 Pier Four Blvd,,Boston,Massachusetts,2210,United States,481515
LENABASUM,OGN7X90BT8,Designated,Public record,3629,"(6aR, 10aR)-3-(1â¿¿,1â¿¿-dimethylheptyl)-Î¿8-tetrahydro-cannabinol-9-carboxylic acid",6/10/2015,Treatment of systemic sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Corbus Pharmaceuticals, Inc.",500 River Ridge Drive,Second Floor,Norwood,Massachusetts,2062,United States,480715
BEVIFIMOD,PNV0H3A73B,Designated,Public record,3630,staphylococcal aureus protein A,6/10/2015,Treatment of immune thrombocytopenic purpura,Designated,Not FDA Approved for Orphan Indication,,,,,"Protalex, Inc.",131 Columbia Turnpike,Suite 1,Florham Park,New Jersey,7932,United States,427714
IMETELSTAT,F60NE4XB53,Designated,Public record,3631,imetelstat,6/11/2015,Treatment of myelofibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,Geron Corporation,"919 E. Hillsdale Blvd., Suite 250",,Foster City,California,94404,United States,481315
OBINUTUZUMAB,O43472U9X8,Designated/Withdrawn,Public record,3632,obinutuzumab,6/11/2015,Treatment of splenic marginal zone lymphoma,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Genentech, Inc.",1 DNA Way,MS# 214A,South San Francisco,California,94080,United States,473315
ABEQUOLIXRON,Q26B92650V,Designated,Public record,3633,"2-{3-[(3R)-3-({[2-chloro-3-(trifluoromethyl)phenyl]methyl}(2,2-diphenylethyl)amino)butoxy]phenyl}acetic acid",6/16/2015,Treatment of ovarian cancer.,Designated,Not FDA Approved for Orphan Indication,,,,,"Rgenix, Inc.",310 East 67th Street,Suite 1-12,New York,New York,10065,United States,483115
ABEQUOLIXRON,Q26B92650V,Designated,Public record,3634,"2-{3-[(3R)-3-({[2-chloro-3-(trifluoromethyl)phenyl]methyl}(2,2-diphenylethyl)amino)butoxy]phenyl}acetic acid",6/16/2015,Treatment of glioblastoma multiforme.,Designated,Not FDA Approved for Orphan Indication,,,,,"Rgenix, Inc.",310 East 67th Street,Suite 1-12,New York,New York,10065,United States,483215
PEMBROLIZUMAB,DPT0O3T46P,Designated/Approved,Public record,3635,pembrolizumab,6/16/2015,"Treatment of gastric cancer, including gastroesophageal junction adenocarcinoma",Designated/Approved,,"in combination with trastuzumab, fluoropyrimidine- and platinum-containing chemotherapy, for the first-line treatment of patients with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma",5/5/2021,5/5/2028,"for the first-line treatment of patients with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma, excluding patients covered by Keytruda's previous indication for gastric or GEJ adenocarcino",Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,7065,United States,481715
PEMBROLIZUMAB,DPT0O3T46P,Designated/Approved,Public record,3636,pembrolizumab,6/16/2015,"Treatment of gastric cancer, including gastroesophageal junction adenocarcinoma",Designated/Approved,,"KEYTRUDA is indicated for the treatment of patients with recurrent locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma whose tumors express PD-L1 [Combined Positive Score (CPS) =1] as determined by an FDA-approved test, with",9/22/2017,9/22/2024,"Treatment of patients with recurrent locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma whose tumors express PD-L1 [Combined Positive Score (CPS) >or =1] as determined by an FDA-approved test, with disease progression on or",Merck Sharp & Dohme LLC,126 East Lincoln Ave.,P.O. Box 2000,Rahway,New Jersey,7065,United States,481715
IMMUCIN,YRY1GG3QHU,Designated,Public record,3638,synthetic signal peptide of human mucin-1 (amino acids 1-21),6/16/2015,Treatment of multiple myeloma.,Designated,Not FDA Approved for Orphan Indication,,,,,Vaxil Bio Therapeutics Ltd.,"13 Einstein St., Building 13A",,Nes-Ziona,,,Israel,482115
SXR-1096,BDQ30W2KTS,Designated,Public record,3639,"6-ethoxy-7-methoxy-2-(2-methylsulfanylphenyl)-3,1-bensoxazin-4-one",6/18/2015,Treatment of Netherton syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,Sixera Pharma AB,Erik Dahlbergsgaten 11a2t,,Vastra Gotaland 41126,,,Sweden,481815
ABEQUOLIXRON,Q26B92650V,Designated,Public record,3640,"2-{3-[(3R)-3-({[2-chloro-3-(trifluoromethyl)phenyl]methyl}(2,2-diphenylethyl)amino)butoxy]phenyl}acetic acid",6/23/2015,Treatment of malignant melanoma stages IIB to IV.,Designated,Not FDA Approved for Orphan Indication,,,,,"Rgenix, Inc.",310 East 67th Street,Suite 1-12,New York,New York,10065,United States,483015
TOZULERISTIDE,835UH424TU,Designated,Public record,3641,chlorotoxin conjugated to indocyanine green dye,6/23/2015,Diagnostic for the management of malignant brain tumors,Designated,Not FDA Approved for Orphan Indication,,,,,"Blaze Bioscience, Inc.","530 Fairview Avenue, North",Suite 1400,Seattle,Washington,98109,United States,482615
LORLATINIB,OSP71S83EU,Designated,Public record,3642,Lorlatinib; lorlatinib,6/23/2015,Treatment of anaplastic lymphoma kinase (ALK)-positive or ROS1-positive non-small cell lung cancer,Designated/Approved,,LORBRENA® is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) whose disease has progressed on crizotinib and at least one other ALK inhibitor for metastatic disease; or al,11/2/2018,11/2/2025,LORBRENA® is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) whose disease has progressed on crizotinib and at least one other ALK inhibitor for metastatic disease; or al,"Pfizer, Inc.",66 Hudson Boulevard East,,New York,New York,10001,United States,481015
LORLATINIB,OSP71S83EU,Designated,Public record,3643,Lorlatinib; lorlatinib,6/23/2015,Treatment of anaplastic lymphoma kinase (ALK)-positive or ROS1-positive non-small cell lung cancer,Designated/Approved,,treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test.,3/3/2021,3/3/2028,"Treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test, excluding patients whose disease has progressed on crizotinib and at least one o","Pfizer, Inc.",66 Hudson Boulevard East,,New York,New York,10001,United States,481015
VOLANESORSEN SODIUM,6JON30SLDT,Designated,Public record,3644,"volanesorsen sodium, apolipotrotein C-III antisense oligonucleotide",6/23/2015,treatment of familial chylomicronemia syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Akcea Therapeutics, Inc.",22 Boston Wharf Road,9th Floor,Boston,Massachusetts,2210,United States,480815
VOLANESORSEN,2O4BE0K238,Designated,Public record,3644,"volanesorsen sodium, apolipotrotein C-III antisense oligonucleotide",6/23/2015,treatment of familial chylomicronemia syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Akcea Therapeutics, Inc.",22 Boston Wharf Road,9th Floor,Boston,Massachusetts,2210,United States,480815
GEMCITABINE,B76N6SBZ8R,Designated,Public record,3645,gemcitabine ready-to-use,6/24/2015,Treatment of ovarian cancer,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Sun Pharmaceutical Industries Ltd.,Acme Plaza,,"Andheri (East), Mumbai 400059",,,India,477015
GEMCITABINE,B76N6SBZ8R,Designated,Public record,3646,gemcitabine ready-to-use,6/24/2015,Treatment of pancreatic cancer,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Sun Pharmaceutical Industries Ltd.,Acme Plaza,,"Andheri (East), Mumbai 400059",,,India,476915
EDOTREOTIDE GALLIUM GA-68,Y68179SY2L,Designated,Public record,3647,Gallium (68Ga) edotreotide,7/1/2015,Diagnostic for the clinical management of neuroendocrine tumors.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Advanced Accelerator Applications, USA",57 East Willow Street,,Millburn,New Jersey,7041,United States,483915
SARIZOTAN,467LU0UCUW,Designated,Public record,3649,sarizotan,7/7/2015,Treatment of Rett syndrome.,Designated,Not FDA Approved for Orphan Indication,,,,,"Newron Pharmaceuticals US, Inc.",89 Headquarter Plaza North,Suite 1438,Morristown,New Jersey,7960,United States,484015
CB-5083,591IV6UL6J,Designated/Withdrawn,Public record,3650,"1-(4-(benzylamino)-7,8-dihydro-5H-pyrano[4,3-d]pyrimidin-2-yl)-2-methyl-1H-indole-4-carboxamide",7/8/2015,Treatment of multiple myeloma,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Cleave Biosciences, Inc.",866 Malcolm Road,Suite 100,Burlingame,California,94010,United States,483815
PROPRANOLOL,9Y8NXQ24VQ,Designated,Public record,3651,propranolol and etodolac,7/8/2015,Treatment of malignant glioma.,Designated,Not FDA Approved for Orphan Indication,,,,,"Vicus Therapeutics, LLC",55 Madison Avenue,Suite 400,Morristown,New Jersey,7960,United States,484315
ETODOLAC,2M36281008,Designated,Public record,3651,propranolol and etodolac,7/8/2015,Treatment of malignant glioma.,Designated,Not FDA Approved for Orphan Indication,,,,,"Vicus Therapeutics, LLC",55 Madison Avenue,Suite 400,Morristown,New Jersey,7960,United States,484315
"""3,3',5,5'-TETRAIODOTHYROACETIC ACID""",PA7UX1FFYQ,Designated,Public record,3652,nano-diamino-tetraiodothyroacetic acid,7/9/2015,Treatment of glioblastoma multiforme (GBM),Designated,Not FDA Approved for Orphan Indication,,,,,"NanoPharmaceuticals, LLC",1 Discovery Place,,Rensselaer,New York,12144,United States,485115
"""3-(4-(1,5-NAPTHRYDINE)IMIDAZOLE(1,2-A)PYRIDINE-7-(1-PHENYL-4-(1-(4-METHYL PIPERAZINE)))""",1G7DB33DC7,Designated,Public record,3653,"3-(4-(1,5-Napthrydine)-Imidazole[1,2-a]pyridine-7-(1-phenyl-4-(1-(4-methyl piperazine)",7/14/2015,Treatment of fibrodysplasia ossificans progressiva.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"La Jolla Pharmaceutical Company, Inc.",10182 Telesis Court,Suite 600,San Diego,California,92121,United States,484615
