# Copyright (c) 1966-2024 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2024-05-16
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr12	56202179	56221969	12q13.3	12q13.3	620051	RNF41, FLRF, NRDP1	RING finger protein 41, E3 ubiquitin protein ligase	RNF41	10193	ENSG00000181852			Rnf41 (MGI:1914838)
chr12	56222015	56229854	12q13.3	12q13.3	612104	OBFC2B, SSB1	Oligonucleotide/oligosaccharide-binding fold-containing protein 2B	NABP2	79035	ENSG00000139579			Nabp2 (MGI:1917167)
chr12	56230051	56237846	12q13.3	12q13.3	608730	SLC39A5, MYP24	Solute carrier family 39 (zinc transporter), member 5	SLC39A5	283375	ENSG00000139540		Myopia 24, autosomal dominant, 615946 (3), Autosomal dominant	Slc39a5 (MGI:1919336)
chr12	56266942	56270966	12q13.3	12q13.3	620736	COQ10A	Coenzyme Q10A	COQ10A	93058	ENSG00000135469			Coq10a (MGI:2684847)
chr12	56271699	56300330	12q13.2-q13.3	12q13.3	118950	CS	Citrate synthase	CS	1431	ENSG00000062485			Cs,Csl (MGI:1919082,MGI:88529)
chr12	56309844	56316346	12q15	12q13.3	605861	CNPY4, TMEM4, MSAP	Canopy 2, zebrafish, homolog of	CNPY2	10330	ENSG00000257727			Cnpy2 (MGI:1928477)
chr12	56316936	56334000	12q13.3	12q13.3	617447	PAN2, USP52, KIAA0710	PABP-dependent poly(A) nuclease 2	PAN2	9924	ENSG00000135473			Pan2 (MGI:1918984)
chr12	56338884	56340410	12q13.2	12q13.3	605580	IL23A, SGRF, P19, IL23P19	Interleukin 23, p19 subunit	IL23A	51561	ENSG00000110944			Il23a (MGI:1932410)
chr12	56341597	56360107	12q13.2	12q13.3	600556	STAT2, IMD44, PTORCH3	Signal transducer and activator of transcription 2	STAT2	6773	ENSG00000170581		Pseudo-TORCH syndrome 3, 618886 (3), Autosomal recessive; Immunodeficiency 44, 616636 (3), Autosomal recessive	Stat2 (MGI:103039)
chr12	56360568	56362857	12q13.3	12q13.3	107760	APOF, LTIP	Apolipoprotein F	APOF	319	ENSG00000175336			Apof (MGI:104539)
chr12	56416363	56449426	12q12-q13	12q13.3	603887	TIMELESS, TIM, TIM1, FASPS4	Timeless circadian regulator	TIMELESS	8914	ENSG00000111602	mutation identified in 1 FASPS4 family	?Advance sleep phase syndrome, familial, 4, 620015 (3), Autosomal dominant	Timeless (MGI:1321393)
chr12	56449502	56456553	12q13	12q13.3	154050	MIP, AQP0, CTRCT15	Major intrinsic protein of lens fiber	MIP	4284	ENSG00000135517	slightly distal to AQP2	Cataract 15, multiple types, 615274 (3), Autosomal dominant	Mip (MGI:96990)
chr12	56470952	56488161	12q13	12q13.3	606365	GLS2, GA	Glutaminase, liver	GLS2	27165	ENSG00000135423			Gls2 (MGI:2143539)
chr12	56520405	56596193	12q13.3	12q13.3	602387	RBMS2, SCR3	RNA-binding motif protein, single strand interacting, 2	RBMS2	5939	ENSG00000076067			Rbms2 (MGI:1861776)
chr12	56595596	56638318	12q24.3-qter	12q13.3	605682	BAZ2A	Bromodomain adjacent to zinc finger domain, 2A	BAZ2A	11176	ENSG00000076108			Baz2a (MGI:2151152)
chr12	56638175	56645984	12q13.3	12q13.3	102910	ATP5B, ATPSB, HUMOP2	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	ATP5F1B	506	ENSG00000110955	mutation identified in 1 HUMOP2 family	?Hypermetabolism due to uncoupled mitochondrial oxidative phosphorylation 2, 620085 (3), Autosomal dominant	Atp5f1b (MGI:107801)
chr12	56663349	56688284	12q13.3	12q13.3	607061	PTGES3, P23, CPGES	Prostaglandin E synthase 3	PTGES3	10728	ENSG00000110958			Ptges3,Ptges3-ps (MGI:1929282,MGI:3704271)
chr12	56712427	56725299	12q23-q24.1	12q13.3	601234	NACA	Nascent-polypeptide-associated complex alpha polypeptide	NACA	4666	ENSG00000196531			Naca (MGI:106095)
chr12	56731580	56752323	12q13	12q13.3	176635	PRIM1, PDIL	Primase, polypeptide-1, 49kD	PRIM1	5557	ENSG00000198056		Primordial dwarfism-immunodeficiency-lipodystrophy syndrome, 620005 (3), Autosomal recessive	Prim1 (MGI:97757)
chr12	56763324	56787790	12q13	12q13.3	606623	HSE	3-alpha-hydroxysteroid epimerase	HSD17B6	8630	ENSG00000025423			Hsd17b6 (MGI:1351670)
chr12	56923133	56934408	12q13.3	12q13.3	609769	SDR9C7, SDRO, ARCI13	Short chain dehydrogenase/reductase family 9C member 7	SDR9C7	121214	ENSG00000170426		Ichthyosis, congenital, autosomal recessive 13, 617574 (3), Autosomal recessive	Sdr9c7 (MGI:1917311)
chr12	56951431	56957608	12q13.3	12q13.3	620043	RDH16, RODH4	Retinol dehydrogenase 16	RDH16	8608	ENSG00000139547			Rdh1,Rdh16,Rdh16f2,Rdh19,Rdh7,Rdh9 (MGI:1195275,MGI:1201375,MGI:1860517,MGI:2143528,MGI:2678390,MGI:3583955)
chr12	56994492	56998877	12q13.3	12q13.3	605307	ADMR, AMR	Adrenomedullin receptor	GPR182	11318	ENSG00000166856			Gpr182 (MGI:109545)
chr12	56998836	57006546	12q13.3	12q13.3	619384	ZBTB39, ZNF922, KIAA0352	Zinc finger- and BTB domain-containing protein 39	ZBTB39	9880	ENSG00000166860			Zbtb39 (MGI:2443316)
chr12	57010000	57016529	12q13-q21	12q13.3	162330	TAC3, NKNB, HH10	Tachykinin 3 (neuromedin K, neurokinin B)	TAC3	6866	ENSG00000166863		Hypogonadotropic hypogonadism 10 with or without anosmia, 614839 (3), Autosomal recessive	Tac2 (MGI:98476)
chr12	57028517	57051198	12q13-q15	12q13.3	601478	MYO1A	Myosin IA	MYO1A	4640	ENSG00000166866			Myo1a (MGI:107732)
chr12	57055643	57088627	12q13.3	12q13.3	616496	NEMP1, TMEM194A	Nuclear envelope integral membrane protein 1	NEMP1	23306	ENSG00000166881			Nemp1 (MGI:2446113)
chr12	57089114	57095476	12q13.3-q14.1	12q13.3	602381	NAB2	NGFIA-binding protein-2	NAB2	4665	ENSG00000166886			Nab2 (MGI:107563)
chr12	57095408	57111362	12q13	12q13.3	601512	STAT6, HIES6	Signal transducer and activator of transcription-6, interleukin-4 induced	STAT6	6778	ENSG00000166888		Hyper-IgE syndrome 6, autosomal dominant, with recurrent infections, 620532 (3), Autosomal dominant	Stat6 (MGI:103034)
chr12	57128483	57213361	12q13.1-q13.3	12q13.3	107770	LRP1, A2MR, KPA, DDH3	Low density lipoprotein-related protein-1 (alpha-2-macroglobulin receptor)	LRP1	4035	ENSG00000123384	mutation identified in 1 KPA family	?Keratosis pilaris atrophicans, 604093 (3), Autosomal recessive; Developmental dysplasia of the hip 3, 620690 (3), Autosomal dominant	Lrp1 (MGI:96828)
chr12	57216794	57226449	12q13.3	12q13.3	604637	NXPH4, NPH4	Neuroexophilin 4	NXPH4	11247	ENSG00000182379			Nxph4 (MGI:1336197)
chr12	57229711	57234935	12q13	12q13.3	138450	SHMT2, GLYA, NEDCASB	Serine hydroxymethyltransferase	SHMT2	6472	ENSG00000182199	glycine A auxotroph	Neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities, 619121 (3), Autosomal recessive	Shmt2 (MGI:1277989)
chr12	57243458	57251187	12q13.3	12q13.3	615521	STAC3, NAM, CMYP13	SH3 and cystein-rich domains 3	STAC3	246329	ENSG00000185482		Congenital myopathy 13, 255995 (3), Autosomal recessive	Stac3 (MGI:3606571)
chr12	57253764	57431141	12q13.3	12q13.3	619886	R3HDM2, KIAA1002	R3H domain-containing protein 2	R3HDM2	22864	ENSG00000179912			R3hdm2 (MGI:1919000)
chr12	57434784	57452062	12q13.1	12q13.3	601233	INHBC	Inhibin, beta C	INHBC	3626	ENSG00000175189			Inhbc (MGI:105932)
chr12	57455307	57458025	12q13.3	12q13.3	612031	INHBE	Inhibin, beta E	INHBE	83729	ENSG00000139269			Inhbe (MGI:109269)
chr12	57459785	57472268	12q13.2-q13.3	12q13.3	165220	GLI1, PAPA8, PPD1	GLI family zinc finger 1	GLI1	2735	ENSG00000111087	mutation identified in 1 PPD1 family	Polydactyly, preaxial I, 174400 (3), Autosomal recessive; Polydactyly, postaxial, type A8, 618123 (3), Autosomal recessive	Gli1 (MGI:95727)
chr12	57472269	57488824	12q14	12q13.3	610576	ARHGAP9	Rho GTPase-activating protein 9	ARHGAP9	64333	ENSG00000123329			Arhgap9 (MGI:2143764)
chr12	57488068	57516652	12q13.3	12q13.3	156560	MARS1, MARS, MTRNS, METRS, ILLD, CMT2U, TTD9, SPG70	Methioninyl-tRNA synthetase 1	MARS1	4141	ENSG00000166986	mutation identified in 1 TTD9 patient	Spastic paraplegia 70, autosomal recessive, 620323 (3), Autosomal recessive; Interstitial lung and liver disease, 615486 (3), Autosomal recessive; ?Trichothiodystrophy 9, nonphotosensitive, 619692 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2U, 616280 (3), Autosomal dominant	Mars1 (MGI:1345633)
chr12	57516588	57520517	12q13.1-q13.2	12q13.3	126337	DDIT3, GADD153, CHOP10	DNA-damage-inducible transcript-3	DDIT3	1649	ENSG00000175197	fused with FUS in myxoid liposarcoma		Ddit3 (MGI:109247)
chr12	57519163	57519259	12q13.3	12q13.3	614489	MIR616	Micro RNA 616	MIR616	693201	ENSG00000208028			
chr12	57520715	57531545	12q13.3	12q13.3	619458	MBD6, KIAA1887	Methyl-CpG-binding domain protein 6	MBD6	114785	ENSG00000166987			Mbd6 (MGI:106378)
chr12	57530051	57547192	12q13.3	12q13.3	607376	DCTN2, DCTN50	Dynactin 2	DCTN2	10540	ENSG00000175203			Dctn2 (MGI:107733)
chr12	57550044	57586633	12q13	12q13.3	602821	KIF5A, NKHC, SPG10, NEIMY, ALS25	Kinesin family member 5A	KIF5A	3798	ENSG00000155980		Myoclonus, intractable, neonatal, 617235 (3), Autosomal dominant; {Amyotrophic lateral sclerosis, susceptibility to, 25}, 617921 (3), Autosomal dominant; Spastic paraplegia 10, autosomal dominant, 604187 (3), Autosomal dominant	Kif5a (MGI:109564)
chr12	57591192	57603418	12q13.3	12q13.3	617104	PIP4K2C, PIP5K2C	Phosphatidylinositol 5-phosphate 4-kinase, type II, gamma	PIP4K2C	79837	ENSG00000166908			Pip4k2c (MGI:2152214)
chr12	57604824	57609802	12q13.3	12q13.3	613142	DTX3	Deltex E3 ubiquitin ligase 3	DTX3	196403	ENSG00000178498			Dtx3 (MGI:2135752)
chr12	57610116	57617245	12q13.11	12q13.3	610215	ARHGEF25, GEFT	Rho guanine nucleotide exchange factor 25	ARHGEF25	115557	ENSG00000240771			Arhgef25 (MGI:1277173)
chr12	57623409	57633201	12q13.3	12q13.3	601873	B4GALNT1, GALGT, GALNACT, SPG26	Beta-1,4-N-acetylgalactosaminyltransferase 1	B4GALNT1	2583	ENSG00000135454		Spastic paraplegia 26, autosomal recessive, 609195 (3), Autosomal recessive	B4galnt1 (MGI:1342057)
chr12	57694132	57721557	12q13	12q13.3-q14.1	609677	OS9	OS9 endoplasmic reticulum lectin	OS9	10956	ENSG00000135506			Os9 (MGI:1924301)
chr12	57700001	67300000	12q14		177700	GLC1P	Glaucoma 1, open angle, P				caused by 300kb duplication	Glaucoma 1, open angle, P, 177700 (4), Autosomal dominant	
chr12	57700001	67300000	12q14		614354	PRO2268	PRO2268 gene		55390				
chr12	57723761	57742161	12q14.1	12q14.1	605476	AGAP2, CENTG1, PIKE	ARF-GAP with GTP-binding protein-like, ankyrin repeat, and pleckstrin homology domains 2	AGAP2	116986	ENSG00000135439			Agap2 (MGI:3580016)
chr12	57745039	57750219	12q13-q14	12q14.1	181035	TSPAN31, SAS	Tetraspanin 31	TSPAN31	6302	ENSG00000135452			Tspan31 (MGI:1914375)
chr12	57747727	57752310	12q14	12q14.1	123829	CDK4, CMM3	Cyclin-dependent kinase 4	CDK4	1019	ENSG00000135446		{Melanoma, cutaneous malignant, 3}, 609048 (3), Autosomal dominant	Cdk4 (MGI:88357)
chr12	57755103	57760411	12q14.1	12q14.1	613336	MARCH9	Membrane-associated RING-CH finger protein 9	MARCHF9	92979	ENSG00000139266			Marchf9 (MGI:2446144)
chr12	57762334	57767078	12q13.1-q13.3	12q14.1	609506	CYP27B1, VDD1, PDDR	Cytochrome P450, subfamily XXVIIB, polypeptide 1	CYP27B1	1594	ENSG00000111012		Vitamin D-dependent rickets, type I, 264700 (3), Autosomal recessive	Cyp27b1 (MGI:1098274)
chr12	57768471	57772105	12q13	12q14.1	604466	METTL1	Methyltransferase 1, tRNA methylguanosine	METTL1	4234	ENSG00000037897			Mettl1 (MGI:1339986)
chr12	57772614	57782541	12q14.1	12q14.1	615258	EEF1AKMT3, METTL21B, FAM119B	EEF1A lysine methyltransferase 3	EEF1AKMT3	25895	ENSG00000123427			Eef1akmt3 (MGI:3645330)
chr12	57782787	57802856	12q13-q14	12q14.1	604723	TSFM, COXPD3	Ts translation elongation factor, mitochondrial	TSFM	10102	ENSG00000123297		Combined oxidative phosphorylation deficiency 3, 610505 (3), Autosomal recessive	Tsfm (MGI:1913649)
chr12	57797380	57818734	12q14	12q14.1	613397	AVIL, NPHS21	Advillin	AVIL	10677	ENSG00000135407		Nephrotic syndrome, type 21, 618594 (3), Autosomal recessive	Avil (MGI:1333798)
chr12	57819927	57846729	12q14.1	12q14.1	608711	CTDSP2, SCP2, OS4	CTD small phosphatase 2	CTDSP2	10106	ENSG00000175215			Ctdsp2 (MGI:1098748)
chr12	57824609	57824692	12q14.1	12q14.1	613057	MIR26A2, MIRN26A2	Micro RNA 26A2	MIR26A2	407016	ENSG00000207789			Mir26a-2 (MGI:3619045)
chr12	57941567	57959148	12q14.1	12q14.1	619760	ATP23, KUB3, XRCC6BP1	ATP23 metallopeptidase and ATP synthase assembly factor homolog	ATP23	91419	ENSG00000166896			Atp23 (MGI:1916984)
chr12	58872155	58920504	12q13.2	12q14.1	608870	LIRG3, LIG3	Leucine-rich repeats- and immunoglobulin-like domains-containing protein 3	LRIG3	121227	ENSG00000139263			Lrig3 (MGI:2443955)
chr12	59596029	59789841	12q13	12q14.1	603654	SLC16A7, MCT2	Solute carrier family 16 (monocarboxylic acid transporters), member 7	SLC16A7	9194	ENSG00000118596			Slc16a7 (MGI:1330284)
chr12	61708273	62260034	12q14.1	12q14.1	617496	FAM19A2, TAFA2	Family with sequence similarity 19, member A2, CC motif chemokine-like	TAFA2	338811	ENSG00000198673			Tafa2 (MGI:2143691)
chr12	62260404	62416389	12q14.1	12q14.1	604731	USP15	Ubiquitin-specific protease 15	USP15	9958	ENSG00000135655			Usp15 (MGI:101857)
chr12	62466826	62600476	12q14.1	12q14.1	616822	MON2, KIAA1040	Mon2, S. cerevisiae, homolog of	MON2	23041	ENSG00000061987			Mon2 (MGI:1914324)
chr12	62603686	62603769	12q14.1	12q14.1	612148	MIRLET7I, LET7I, MIRNLET7I	Micro RNA Let7i	MIRLET7I	406891	ENSG00000199179			Mirlet7i (MGI:2676802)
chr12	62643994	62935150	12q14.1-q14.2	12q14.1-q14.2	616016	PPM1H, KIAA1157	Protein phosphatase, magnesium/manganese-dependent, 1H	PPM1H	57460	ENSG00000111110			Ppm1h (MGI:2442087)
chr12	62700001	64700000	12q14.2		610908	AUTS13	Autism, susceptibility to, 13		100188317		linkage with rs1445442	{Autism susceptibility 13}, 610908 (2)	
chr12	63142759	63151201	12q14-q15	12q14.2	600821	AVPR1A	Arginine vasopressin receptor-1A	AVPR1A	552	ENSG00000166148			Avpr1a (MGI:1859216)
chr12	63558913	63668805	12q14.2	12q14.2	613893	DPY19L2, SPGF9	DPY19-like 2	DPY19L2	283417	ENSG00000177990	pseudogene on 7p14.3	Spermatogenic failure 9, 613958 (3), Autosomal recessive	Dpy19l2 (MGI:2444662)
chr12	63779909	63809562	12q14.2	12q14.2	605862	RXYLT1, TMEM5, MDDGA10	Ribitol xylosyltransferase 1	RXYLT1	10329	ENSG00000118600		Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 10, 615041 (3), Autosomal recessive	Rxylt1 (MGI:2384919)
chr12	63844700	64162217	12q14.2	12q14.2	606523	SRGAP1, KIAA1304, NMTC2	Slit-robo GTPase-activating protein, rho, 1	SRGAP1	57522	ENSG00000196935		{Thyroid cancer, nonmedullary, 2}, 188470 (3), Autosomal dominant, Somatic mutation	Srgap1 (MGI:2152936)
chr12	64186316	64222296	12q14.2	12q14.2	617420	KICS2, C12orf66	KICSTOR subunit 2	KICS2	144577	ENSG00000174206			Kics2 (MGI:2670984)
chr12	64404392	64451125	12q14.2	12q14.2	603180	XPOT	Exportin, tRNA	XPOT	11260	ENSG00000184575			Xpot (MGI:1920442)
chr12	64452120	64502114	12q14.2	12q14.2	604834	TBK1, NAK, FTDALS4, IIAE8	TANK-binding kinase 1	TBK1	29110	ENSG00000183735		{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8}, 617900 (3), Autosomal dominant; Frontotemporal dementia and/or amyotrophic lateral sclerosis 4, 616439 (3), Autosomal dominant	Tbk1 (MGI:1929658)
chr12	64506964	64697564	12q14.1	12q14.2	607019	RASSF3	Ras association domain family protein 3	RASSF3	283349	ENSG00000153179			Rassf3 (MGI:2179722)
chr12	64700001	67300000	12q14.3		611547	STQTL9	Stature quantitative trait locus 9				associated with rs1042725	{Stature QTL 9}, 611547 (2)	
chr12	64713449	64759406	12q14	12q14.3	607664	GNS, G6S	N-acetylglucosamine-6-sulfatase	GNS	2799	ENSG00000135677		Mucopolysaccharidosis type IIID, 252940 (3), Autosomal recessive	Gns (MGI:1922862)
chr12	64759484	64881033	12q14.3	12q14.3	615077	TBC1D30, KIAA0984	TBC1 domain family, member 30	TBC1D30	23329	ENSG00000111490			Tbc1d30 (MGI:1921944)
chr12	65050626	65121305	Chr.12	12q14.3	605186	WIF1	WNT inhibitory factor 1	WIF1	11197	ENSG00000156076			Wif1 (MGI:1344332)
chr12	65169583	65248355	12q14	12q14.3	607844	LEMD3, MAN1	LEM domain-containing 3	LEMD3	23592	ENSG00000174106		Buschke-Ollendorff syndrome, 166700 (3), Autosomal dominant; Osteopoikilosis with or without melorheostosis, 166700 (3), Autosomal dominant	Lemd3 (MGI:3580376)
chr12	65278683	65466907	12q14.3	12q14.3	613719	MSRB3, DFNB74	Methionine sulfoxide reductase B3	MSRB3	253827	ENSG00000174099		Deafness, autosomal recessive 74, 613718 (3), Autosomal recessive	Msrb3 (MGI:2443538)
chr12	65824460	65966291	12q14.3	12q14.3	600698	HMGA2, HMGIC, BABL, SRS5	High-mobility group AT-hook 2	HMGA2	8091	ENSG00000149948	fusion partners with RAD51B, ALDH2, COX6C, HEI10 in uterine leiomyomas	Silver-Russell syndrome 5, 618908 (3), Autosomal dominant	Hmga2 (MGI:101761)
chr12	66116555	66130750	12q14.3	12q14.3	616998	LLPH	LLP, Aplysia, homolog of	LLPH	84298	ENSG00000139233			Llph,Llph-ps1,Llph-ps2 (MGI:1913475,MGI:3642864,MGI:3649506)
chr12	66135846	66169996	12q14.3	12q14.3	616874	TMBIM4, GAAP, S1R	Transmembrane BAX inhibitor motif-containing protein 4	TMBIM4	51643	ENSG00000155957			Tmbim4 (MGI:1915462)
chr12	66189214	66254622	12q14.3	12q14.3	604459	IRAK3, IRAKM, ASRT5	Interleukin 1 receptor-associated kinase 3	IRAK3	11213	ENSG00000090376		{Asthma susceptibility 5}, 611064 (3)	Irak3 (MGI:1921164)
chr12	66302493	66343643	12q13	12q14.3	614539	HELB, HDHB	Helicase, DNA, B	HELB	92797	ENSG00000127311			Helb (MGI:2152895)
chr12	66347431	67069338	12q14.3	12q14.3	604597	GRIP1, FRASRS3	Glutamate receptor-interacting protein 1	GRIP1	23426	ENSG00000155974		Fraser syndrome 3, 617667 (3), Autosomal recessive	Grip1 (MGI:1921303)
chr12	67269358	67319953	12q14.3-q15	12q14.3-q15	607727	CAND1, TIP120A, TIP120, KIAA0829	Cullin-associated neddylation-dissociated protein 1	CAND1	55832	ENSG00000111530			Cand1 (MGI:1261820)
chr12	67300001	71100000	12q15		612639	IBD26	Inflammatory bowel disease 26		100271838		associated with rs1558744	{Inflammatory bowel disease 26}, 612639 (2)	
chr12	67648745	67665406	12q14	12q15	603496	DYRK2	Dual-specificity tyrosine phosphorylation-regulated kinase 2	DYRK2	8445	ENSG00000127334			Dyrk2 (MGI:1330301)
chr12	68154768	68159740	12q14	12q15	147570	IFNG, IFG, IFI, IMD69	Interferon, gamma	IFNG	3458	ENSG00000111537	mutation identified in 1 IMD69 family	{Hepatitis C virus, response to therapy of}, 609532 (3); {TSC2 angiomyolipomas, renal, modifier of}, 613254 (3), Autosomal dominant; {Aplastic anemia}, 609135 (3); ?Immunodeficiency 69, mycobacteriosis, 618963 (3), Autosomal recessive; {Tuberculosis, protection against}, 607948 (3); {AIDS, rapid progression to}, 609423 (3)	Ifng (MGI:107656)
chr12	68201349	68225810	12q15	12q15	605679	IL26, AK155	Interleukin 26	IL26	55801	ENSG00000111536			
chr12	68248242	68253604	12q15	12q15	605330	IL22, IL21, ILTIF	Interleukin 22	IL22	50616	ENSG00000127318			Il22,Il22b (MGI:1355307,MGI:2151139)
chr12	68294566	68332362	12q15	12q15	613813	MDM1	MDM1 nuclear protein	MDM1	56890	ENSG00000111554			Mdm1 (MGI:96951)
chr12	68610899	68671901	12q14	12q15	179530	RAP1B, THC11	RAS-related protein RAP1B	RAP1B	5908	ENSG00000127314		Thrombocytopenia 11 with multiple congenital anomalies and dysmorphic facies, 620654 (3), Autosomal dominant	Rap1b (MGI:894315)
chr12	68686978	68745809	12q15	12q15	607617	NUP107, NUP84, NPHS11, ODG6; GAMOS7	Nucleoporin, 107kD	NUP107	57122	ENSG00000111581	mutation identified in 1 ODG6 family	?Ovarian dysgenesis 6, 618078 (3), Autosomal recessive; Galloway-Mowat syndrome 7, 618348 (3), Autosomal recessive; Nephrotic syndrome, type 11, 616730 (3), Autosomal recessive	Nup107 (MGI:2143854)
chr12	68746176	68781468	12q15	12q15	620355	SLC35E3, BLOV1	Solute carrier family 35, member E3	SLC35E3	55508	ENSG00000175782			Slc35e3 (MGI:2448489)
chr12	68808172	68850686	12q14.3-q15	12q15	164785	MDM2, ACTFS, LSKB	MDM2 protooncogene	MDM2	4193	ENSG00000135679	mutation identified in 1 LSKB patient	{Accelerated tumor formation, susceptibility to}, 614401 (3), Autosomal dominant; ?Lessel-Kubisch syndrome, 618681 (3), Autosomal recessive	Mdm2 (MGI:96952)
chr12	68842197	68963469	12q15	12q15	114860	CPM	Carboxypeptidase M	CPM	1368	ENSG00000135678			Cpm (MGI:1917824)
chr12	69239569	69274358	Chr.12	12q15	604979	CPSF6, CFIM	Cleavage and polyadenylation specific factor 6, 68kD subunit	CPSF6	11052	ENSG00000111605			Cpsf6 (MGI:1913948)
chr12	69348381	69354234	12q15	12q15	153450	LYZ	Lysozyme	LYZ	4069	ENSG00000090382		Amyloidosis, renal, 105200 (3), Autosomal dominant	Lyz1,Lyz2,Lyz3 (MGI:1924647,MGI:96897,MGI:96902)
chr12	69359743	69427072	12q13-q15	12q15	602116	YEATS4, GAS41	YEATS domain-containing protein 4	YEATS4	8089	ENSG00000127337			Yeats4 (MGI:1927224)
chr12	69470388	69579793	12q15	12q15	607743	FRS2, FRS1A, SNT1	Fibroblast growth factor receptor substrate 2	FRS2	10818	ENSG00000166225			Frs2 (MGI:1100860)
chr12	69585459	69601570	Chr.12	12q15	605139	CCT2, CCTB	Chaperonin containing T-complex polypeptide 1, subunit 2	CCT2	10576	ENSG00000166226			Cct2 (MGI:107186)
chr12	69608564	69610907	12q15	12q15	610846	LRRC10, HRLRRP	Leucine-rich repeat-containing protein 10	LRRC10	376132	ENSG00000198812			Lrrc10 (MGI:2448063)
chr12	69643508	69699303	12q14.2-q15	12q15	607337	BEST3, VMD2L3	Bestrophin 3	BEST3	144453	ENSG00000127325			Best3 (MGI:3580298)
chr12	69738242	69823204	12q15	12q15	608686	RAB3IP, RABIN8, RABIN3	RAB3A-interacting protein	RAB3IP	117177	ENSG00000127328			Rab3ip (MGI:105933)
chr12	70222190	70243360	12q15	12q15	619085	PRANCR, LINC01481	Progenitor renewal-associated noncoding RNA	PRANCR	101928062	ENSG00000257815			
chr12	70243018	70354993	12q15	12q15	604909	CNOT2, NOT2, IDNADFS	CCR4-NOT transcription complex, subunit 2	CNOT2	4848	ENSG00000111596		Intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies, 618608 (3), Autosomal dominant	Cnot2 (MGI:1919318)
chr12	70366290	70434292	12q14.1-q15	12q15	605223	KCNMB4	Potassium large conductance calcium-activated channel, subfamily M, beta member 4	KCNMB4	27345	ENSG00000135643			Kcnmb4 (MGI:1913272)
chr12	70515870	70637429	12q15-q21	12q15	176882	PTPRB	Protein tyrosine phosphatase, receptor type, beta polypeptide	PTPRB	5787	ENSG00000127329			Ptprb (MGI:97809)
chr12	70638073	70920738	12q15	12q15	602853	PTPRR, PCPTP1	Protein-tyrosine phosphatase, receptor type, R	PTPRR	5801	ENSG00000153233			Ptprr (MGI:109559)
chr12	71100001	108600000	12q21-q23		612715	DUH2	Dyschromatosis universalis hereditaria 2		100301525		between rs1921045 and rs2373584	Dyschromatosis universalis hereditaria 2, 612715 (2)	
chr12	71100001	108600000	12q21-q23		603221	MYP3	Myopia, high grade, 3, autosomal dominant		8782			Myopia-3, 603221 (2), Autosomal dominant	
chr12	71100001	92200000	12q21		169900	PEPB	Peptidase B	PEPB	5182				Pepb (MGI:97540)
chr12	71125096	71157999	12q14.1-q21.1	12q21.1	600769	TSPAN8, TM4SF3	Tetraspanin 8	TSPAN8	7103	ENSG00000127324			Tspan8 (MGI:2384918)
chr12	71439129	71586310	12q21.1	12q21.1	606667	LGR5, GPR49	Leucine-rich repeat-containing G protein-coupled receptor 5	LGR5	8549	ENSG00000139292			Lgr5 (MGI:1341817)
chr12	71664301	71680644	12q21.1	12q21.1	612531	THAP2	THAP domain-containing protein 2	THAP2	83591	ENSG00000173451			Thap2 (MGI:1914066)
chr12	71754863	71800286	12q21.1	12q21.1	612398	RAB21, KIAA0118	RAB-associated protein RAB21	RAB21	23011	ENSG00000080371			Rab21 (MGI:894308)
chr12	71839759	71924313	12q21.1	12q21.1	612662	TBC1D15	TBC1 domain family, member 15	TBC1D15	64786	ENSG00000121749			Tbc1d15 (MGI:1913937)
chr12	71938845	72032440	12q21.1	12q21.1	607478	TPH2, NTPH, ADHD7	Tryptophan hydroxylase 2	TPH2	121278	ENSG00000139287	mutation identified in 1 ADHD7 family	{?Attention deficit-hyperactivity disorder, susceptibility to, 7}, 613003 (3); {Unipolar depression, susceptibility to}, 608516 (3)	Tph2 (MGI:2651811)
chr12	72087266	72670758	12q15-q21	12q21.1	606950	TRHDE	Thyrotropin-releasing hormone-degrading ectoenzyme	TRHDE	29953	ENSG00000072657			Trhde (MGI:2384311)
chr12	74537835	74545430	12q21	12q21.1	615579	ATXN7L3B	Ataxin 7-like 3B	ATXN7L3B	552889	ENSG00000253719			Atxn7l3b (MGI:1914971)
chr12	75040078	75209839	12q21.1	12q21.1	176256	KCNC2, DEE103	Potassium voltage-gated channel, Shaw-related subfamily, member 2	KCNC2	3747	ENSG00000166006	previously on 19q13.3-q13.4	Developmental and epileptic encephalopathy 103, 619913 (3), Autosomal dominant	Kcnc2 (MGI:96668)
chr12	75275979	75390901	12q15	12q21.1-q21.2	607724	CAPS2	Calcyphosine 2	CAPS2	84698	ENSG00000180881			Caps2 (MGI:2441980)
